Latin	MaxFreq	MinFreq	MinFreq10k
abellana	?	?	?
absinthium	8	8	0.129
abyssus	58	58	0.934
acetum	?	?	?
acus	12	0	0
ador	17	6	0.097
adulter	25	5	0.081
adulter2	?	?	?
adustio	2	2	0.032
advena	107	67	1.079
aer	83	39	0.628
aestas	14	14	0.225
aestus	20	20	0.322
aetas	38	38	0.612
ager	435	186	2.995
agnus	335	17	0.274
agricola	55	7	0.113
alnus	?	?	?
altar	854	1	0.016
amicus	523	0	0
amor	22	16	0.258
ancilla	131	131	2.11
angelus	338	338	5.443
angulus	74	62	0.998
anima	1,791	487	7.843
animal	62	28	0.451
annus	2,193	300	4.831
aqua	719	719	11.579
aquila	143	0	0
arbor	65	65	1.047
arca	328	139	2.239
area	75	36	0.58
arena	34	34	0.548
argentum	275	275	4.429
aries	317	41	0.66
arma	226	8	0.129
asina	73	21	0.338
atrium	222	52	0.837
auricula	18	18	0.29
aurum	1,606	151	2.432
baculum	20	18	0.29
baptismum	?	?	?
barba	36	4	0.064
basilica	9	0	0
basis	?	?	?
basium	11	11	0.177
bellum	501	0	0
bestia	255	71	1.143
bonum	1,807	0	0
bos	329	127	2.045
bracchium	99	99	1.594
bucca	?	?	?
cadaver	58	58	0.934
caelum	3,029	1	0.016
caepa	1	1	0.016
caligo	50	26	0.419
calix	61	61	0.982
camelus	88	55	0.886
campus	153	0	0
canis	187	0	0
canistrum	13	13	0.209
cannabis	?	?	?
	canticum	178	0	0
capillus	38	38	0.612
capistrum	?	?	?
capra	51	33	0.531
caput	1,100	310	4.992
carbo	31	1	0.016
carcer	124	58	0.934
carrus	1	1	0.016
caseus	3	3	0.048
castella	30	30	0.483
castra	995	0	0
casus	751	176	2.834
causa	157	157	2.528
cedrus	68	45	0.725
census	19	0	0
centurio	60	36	0.58
cerasus	?	?	?
chorus	44	44	0.709
ciconia	1	1	0.016
cinis	78	48	0.773
circuitus	524	0	0
circus	28	0	0
civitas	1,161	1,161	18.698
clamor	111	45	0.725
clangor	18	10	0.161
coetus	68	0	0
cognatio	161	161	2.593
cognatus	82	0	0
collis	126	63	1.015
color	65	14	0.225
columba	52	42	0.676
columna	141	103	1.659
commotio	21	21	0.338
concilium	49	23	0.37
coniuga	28	8	0.129
conspectus	865	1	0.016
convictus	4	0	0
cor	2,817	43	0.693
cornu	135	41	0.66
corona	228	0	0
corpus	256	212	3.414
cortina	18	18	0.29
corvus	10	10	0.161
costa	4	2	0.032
crater	?	?	?
cribrum	3	1	0.016
crimen	15	13	0.209
crusta	?	?	?
crux	34	34	0.548
cubiculum	40	40	0.644
cucumis	1	1	0.016
cucurbita	?	?	?
culpa	16	2	0.032
cultus	77	2	0.032
cuneus	24	0	0
cura	73	23	0.37
cursus	38	0	0
custodia	155	31	0.499
daemonia	82	82	1.321
debitor	10	10	0.161
decor	205	6	0.097
dens	63	63	1.015
deserta	1,049	0	0
deus	6,451	3,491	56.221
diabolus	39	39	0.628
dies	6,762	1,662	26.766
digitus	70	26	0.419
discipulus	337	185	2.979
doctrina	113	113	1.82
dolor	164	96	1.546
domina	47	14	0.225
dominus	10,591	6,296	101.395
domus	2,615	1,509	24.302
draco	86	0	0
dux	358	170	2.738
ecclesia	164	164	2.641
epistola	?	?	?
equa	60	0	0
equus	235	113	1.82
exaltatio	6	6	0.097
exemplum	43	39	0.628
exercitus	1,300	301	4.848
fabula	13	7	0.113
facies	1,154	694	11.177
factum	2,256	0	0
faenum	46	46	0.741
fallacia	7	7	0.113
fama	53	23	0.37
fames	155	125	2.013
familia	254	254	4.091
famula	58	0	0
farina	19	19	0.306
femina	57	27	0.435
ferrum	102	56	0.902
festuca	6	6	0.097
festum	110	0	0
ficus	50	50	0.805
fides	864	0	0
figura	23	5	0.081
filia	1,844	544	8.761
filius	6,382	4,656	74.983
finis	164	36	0.58
fiscella	2	2	0.032
flamma	160	0	0
flos	60	23	0.37
flumen	158	158	2.545
fluvius	78	78	1.256
fluxus	34	0	0
folium	37	11	0.177
follis	?	?	?
fons	99	99	1.594
foramen	16	16	0.258
fores	662	0	0
forma	58	0	0
formica	2	2	0.032
forum	546	0	0
fragmentum	12	12	0.193
frater	1,090	1,090	17.554
fraxinus	?	?	?
fremitus	17	9	0.145
frenum	22	0	0
