Latin	LatGender	LatDec	nomsg	nompl	gensg	genpl	accsg	accpl	English	RomGender	RomSg	RomPl	OldRom	OldestRom	OrigLang	UnsureCog?	ChangedMean	SlWordt	SlavGender	SlNote	NewWord?	PageNo	LatinExist?	NounExist?	MultipleNouns?	Is Second Noun a homophone?	MaxFreq	MaxFreq10k	MinFreq	MinFreq10k
abellana	f	1	abellana	abellanae	abellanae	abellanārum	abellanam	abellanās	hazelnut	f	alună	alune		alluna	l			*lěska	f	hazel	*	2076136	Yes	Yes	No		?	?	?	?
absinthium	n	2	absinthium	absinthia	absinthiī	absinthiōrum	absinthium	absinthia	wormwood	n	absint	absinturi			f							1034	Yes	Yes	No		8	0.129	8	0.129
abyssus	f	2	abyssus	abyssī	abyssī	abyssōrum	abyssum	abyssōs	abyss, pit, sea	n	abis	abisuri			f, l			*bezdъna	f			41359	Yes	Yes	No		58	0.934	58	0.934
acetum	n	2	acētum	acēta	acētī	acētōrum	acētum	acēta	vinegar	n	oțet  	oțeturi			s			*ocьtъ	m	borrowing		34278	Yes	Yes	No		?	?	?	?
acus	f	4	acus	acūs	acūs	acuum	acum	acūs	needle	n	ac	ace		ác	l			*jьgъla	f	needle	*	790218	Yes	Yes	No		12	0.193	0	0
ador	n	3	ador	adora	adoris	adorum	ador	adora	a grain, spelt		-							*pyrъ	m			4579726	No	No	No		17	0.274	6	0.097
adulter	mh	2	adulter	adulterī	adulterī	adulterōrum	adulterum	adulterōs	adulter		-								m	(natural gender)		511392	Yes	Yes	No		25	0.403	5	0.081
adulter	fh	2	adultera	adulterai	adulterai	adulterārum	adulteram	adulterās	adulteress										f	(natural gender)		511392	Yes	Yes	No		25	0.403	5	0.081
adustio	f	3	adustiō	adustiōnēs	adustiōnis	adustiōnum	adustiōnem	adustiōnēs	kindling, burn											(abstract)		2758659	Yes	Yes	No		2	0.032	2	0.032
advena	f	1	advena	advenae	advenae	advenārum	advenam	advenās	stranger, foreigner, immigrant		-								f	(natural gender)		2616452	Yes	Yes	No		107	1.723	67	1.079
aer	m	3	āēr	āerēs	āeris	āerum	āera/āerem*	āerēs	air, sky	n	aer	aere			l		air		n			45955	Yes	Yes	No		83	1.337	39	0.628
aestas	f	3	aestās	aestātēs	aestātis	aestātum	aestātem	aestātēs	summer		-							*lěto	n			47590	Yes	Yes	No		14	0.225	14	0.225
aestus	m	4	aestus	aestūs	aestūs	aestuum	aestum	aestūs	agitation, glow, heat, rage of fire		-							*žarь	m			1673242	Yes	Yes	No		20	0.322	20	0.322
aetas	f	3	aetās	aetātēs	aetātis	aetātum	aetātem	aetātēs	age	f	etate	etăți			l			*věkъ	f			195693	Yes	Yes	No		38	0.612	38	0.612
ager	m	2	ager	agrī	agrī	agrōrum	agrum	agrōs	field, farm	m	acru	acri			l		acre	*niva, *orlja	f, f			38528	Yes	Yes	No		435	7.006	186	2.995
agnus	m	2	agnus	agnī	agnī	agnūs	agnum	agnōs	lamb		-							*agnę	n			47249	Yes	Yes	No		335	5.395	17	0.274
agricola	mh	1	agricola	agricolae	agricolae	agricolārum	agricolam	agricolās	farmer, peasant	m	agricultor	agricultori			f, l			*ortajь	m	(natural gender)		38507	Yes	Yes	Yes	No	55	0.886	7	0.113
alnus	m	2	alnus	alnī	alnī	alnōrum	alnum	alnōs	alder	m	arin	arini			l			*olьxa; *elьxa; *olьša; *elьša	f, f, f, f		*	1487104	Yes	Yes	No		?	?	?	?
altar	n	3	altar	altaria	altaris	altarium	altar	altaria	altars	n	altar	altare			l							36718	Yes	Yes	No		854	13.753	1	0.016
amicus	mh	2	amīcus	amīcī	amīcī	amīcōrum	amīcum	amīcōs	friend	m	amic	amici			l, i			*drugъ, *prijateljь	m, m	(natural gender)		46543	Yes	Yes	No		523	8.423	0	0
amor	m	3	amor	amōrēs	amōris	amōrum	amōrem	amōrēs	affection	n	amor	amoruri			l, i			*ljuby	f	(abstract)		1768565	Yes	Yes	No		22	0.354	16	0.258
ancilla	fh	1	ancilla	ancillae	ancillae	ancillārum	ancillam	ancillās	handmaid		-								f			91886	Yes	Yes	No		131	2.11	131	2.11
angelus	mh	2	angelus	angelī	angelī	angelōrum	angelum	angelōs	angel	m	înger  	îngeri			l				m	(natural gender)		46493	Yes	Yes	No		338	5.443	338	5.443
angulus	m	2	angulus	angulī	angulī	angulōrum	angulum	angulōs	angle	n	unghi	unghiuri			l			*ǫgъlъ	m			1167786	Yes	Yes	No		74	1.192	62	0.998
anima	f	1	anima	animae	animae	animārum	animam	animās	air, breath, life, soul	f	inimă	inimi			l			*duxъ, *duša	m, f			47430	Yes	Yes	No		1,791	28.844	487	7.843
animal	n	3	animal	animālia	animālis	animālium	animal	animālia	beast, animal	n	animal	animale			f, l							3958	Yes	Yes	No		62	0.998	28	0.451
annus	m	2	annus	annī	annī	annōrum	annum	annōs	year	m	an	ani			l			*rokъ, *godъ, *godina	m, m, f			49512	Yes	Yes	No		2,193	35.318	300	4.831
aqua	f	1	aqua	aquae	aquae	aquārum	aquam	aquās	water	f	apă   	ape			l			*voda	f			35047	Yes	Yes	No		719	11.579	719	11.579
aquila	f	1	aquila	aquilae	aquilae	aquilārum	aquilam	aquilās	eagle	f	acvilă	acvile			l, i			*orьlъ	m			91	Yes	Yes	No		143	2.303	0	0
arbor	f	3	arbor	arborēs	arboris	arborum	arborem	arborēs	tree	m	arbore	arbori			l			*dervo	n			27557	Yes	Yes	No		65	1.047	65	1.047
arca	f	1	arca	arcae	arcae	arcārum	arcam	arcās	chest, box	f	arcă	arce			i, l		ark	*orky, *korbъ, *korba, *korbьji	f, m, f, f			788131	Yes	Yes	No		328	5.282	139	2.239
area	f	1	ārea	āreae	āreae	āreārum	āream	āreās	area, ground	f	arie	arii			l							29610	Yes	Yes	No		75	1.208	36	0.58
arena	f	1	arēna	arēnae	arēnae	arēnārum	arēnam	arēnās	sand	f	arină	arine			l			*pěsъkъ	m			72683	Yes	Yes	No		34	0.548	34	0.548
