Form	Root	Suffix	Case	Gender	Declension
abellana	abellan	a	nomsg	f	1
abellanae	abellan	a	nompl	f	1
abellanae	abellan	a	gensg	f	1
abellanārum	abellan	a	genpl	f	1
abellanam	abellan	a	accsg	f	1
abellanās	abellan	a	accpl	f	1
absinthium	absinth	ium	nomsg	n	2
absinthia	absinth	ia	nompl	n	2
absinthiī	absinth	iī	gensg	n	2
absinthiōrum	absinth	iōrum	genpl	n	2
absinthium	absinth	ium	accsg	n	2
absinthia	absinth	ia	accpl	n	2
abyssus	abyss	us	nomsg	f	2
abyssī	abyss	ī	nompl	f	2
abyssī	abyss	ī	gensg	f	2
abyssōrum	abyss	ōrum	genpl	f	2
abyssum	abyss	um	accsg	f	2
abyssōs	abyss	ōs	accpl	f	2
acētum	acēt	um	nomsg	n	2
acēta	acēt	a	nompl	n	2
acētī	acēt	ī	gensg	n	2
acētōrum	acēt	ōrum	genpl	n	2
acētum	acēt	um	accsg	n	2
acēta	acēt	a	accpl	n	2
acus	ac	us	nomsg	f	4
acūs	ac	ūs	nompl	f	4
acūs	ac	ūs	gensg	f	4
acuum	ac	uum	genpl	f	4
acum	ac	um	accsg	f	4
acūs	ac	ūs	accpl	f	4
ador	ador	NULL	nomsg	n	3
adora	ador	a	nompl	n	3
adoris	ador	is	gensg	n	3
adorum	ador	um	genpl	n	3
ador	ador	NULL	accsg	n	3
adora	ador	a	accpl	n	3
adultera	adulter	a	nomsg	fh	2
adulterai	adulter	ai	nompl	fh	2
adulterai	adulter	ai	gensg	fh	2
adulterārum	adulter	ārum	genpl	fh	2
adulteram	adulter	am	accsg	fh	2
adulterās	adulter	ās	accpl	fh	2
adulter	adulter	NULL	nomsg	mh	2
adulterī	adulter	ī	nompl	mh	2
adulterī	adulter	ī	gensg	mh	2
adulterōrum	adulter	ōrum	genpl	mh	2
adulterum	adulter	um	accsg	mh	2
adulterōs	adulter	ōs	accpl	mh	2
adustiō	adustiō	NULL	nomsg	f	3
adustiōnēs	adustiōn	ēs	nompl	f	3
adustiōnis	adustiōn	is	gensg	f	3
adustiōnum	adustiōn	um	genpl	f	3
adustiōnem	adustiōn	em	accsg	f	3
adustiōnēs	adustiōn	ēs	accpl	f	3
advena	adven	a	nomsg	f	1
advenae	adven	ae	nompl	f	1
advenae	adven	ae	gensg	f	1
advenārum	adven	ārum	genpl	f	1
advenam	adven	am	accsg	f	1
advenās	adven	ās	accpl	f	1
āēr	āēr	NULL	nomsg	m	3
āerēs	āer	ēs	nompl	m	3
āeris	āer	is	gensg	m	3
āerum	āer	um	genpl	m	3
āera	āer	a	accsg	m	3
āerēs	āer	ēs	accpl	m	3
aestās	aestās	NULL	nomsg	f	3
aestātēs	aestāt	ēs	nompl	f	3
aestātis	aestāt	is	gensg	f	3
aestātum	aestāt	um	genpl	f	3
aestātem	aestāt	em	accsg	f	3
aestātēs	aestāt	ēs	accpl	f	3
aestus	aest	us	nomsg	m	4
aestūs	aest	ūs	nompl	m	4
aestūs	aest	ūs	gensg	m	4
aestuum	aest	uum	genpl	m	4
aestum	aest	um	accsg	m	4
aestūs	aest	ūs	accpl	m	4
aetās	aetās	NULL	nomsg	f	3
aetātēs	aetāt	ēs	nompl	f	3
aetātis	aetāt	is	gensg	f	3
aetātum	aetāt	um	genpl	f	3
aetātem	aetāt	em	accsg	f	3
aetātēs	aetāt	ēs	accpl	f	3
ager	ager	NULL	nomsg	m	2
agrī	agr	ī	nompl	m	2
agrī	agr	ī	gensg	m	2
agrōrum	agr	ōrum	genpl	m	2
agrum	agr	um	accsg	m	2
agrōs	agr	ōs	accpl	m	2
agnus	agn	us	nomsg	m	2
