Combo	1	2	3	4	5
mSgNom	a	o	e,-	o	e, a
fSgNom	a	o	e, -	o	e, a
nSgNom	NA	o	e, -	o	NA
mSgAcc 	a	o	e, -	o	e, a
fSgAcc 	a	o	e, -	o	e, a
nSgAcc	NA	o	e, -	o	NA
mSgGen	e	o	e, -	o	e, a
fSgGen	e	o	e, -	o	e, a
nSgGen	NA	o	e, -	o	NA
mSgDat 	e	o	e, -	o	e, a
fSgDat 	e	o	e, -	o	e, a
nSgDat	NA	o	e, -	o	NA
mSgAbl	a	o	e, -	o	e, a
fSgAbl	a	o	e, -	o	e, a
nSgAbl	NA	o	e, -	o	NA
mPlNom	as	as, os	as, es, s	as, os	es, as
fPlNom	as	os	es, s	os	es, as
nPlNom	NA	as	as	as	NA
mPlAcc	as	as, os	as, es, s	as, os	es, as
fPlAcc 	as	os	es, s	os	es, as
nPlAcc	NA	as	as	as	NA
mPlGen	as	as, os	as, es, s	as, os	es, as
fPlGen	as	os	es, s	os	es, as
nPlGen	NA	as	as	as	NA
mPlDat	as	as, os	as, es, s	as, os	es, as
fPlDat	as	os	es, s	os	es, as
nPlDat	NA	as	as	as	NA
mPlAbl	as	as, os	as, es, s	as, os	es, as
fPlAbl	as	os	es, s	os	es, as
nPlAbl	NA	as	as	as	NA
