Combo	ComSuf	NPLFSGSuf	RomSuf
m1SgNom	a	a	a
m2SgNom	o	o	o
m3SgNom	e,-	e,-	e,-
m4SgNom	o	o	o
m5SgNom	e,a	e,a	e,a
f1SgNom	a	a	a
f2SgNom	o	o	o
f3SgNom	e,-	e,-	e,-
f4SgNom	o	o	o
f5SgNom	e,a	e,a	e,a
n1SgNom	NA	NA	NA
n2SgNom	o	o	o
n3SgNom	e,-	e,-	e,-
n4SgNom	o	o	o
n5SgNom	NA	NA	NA
m1SgAcc	a	a	a
m2SgAcc	o	o	o
m3SgAcc	e,-	e,-	e,-
m4SgAcc	o	o	o
m5SgAcc	e,a	e,a	e,a
f1SgAcc	a	a	a
f2SgAcc	o	o	o
f3SgAcc	e,-	e,-	e,-
f4SgAcc	o	o	o
f5SgAcc	e,a	e,a	e,a
n1SgAcc	NA	NA	NA
n2SgAcc	o	o	o
n3SgAcc	e,-	e,-	e,-
n4SgAcc	o	o	o
n5SgAcc	NA	NA	NA
m1SgGen	a	a	e
m2SgGen	o	o	o
m3SgGen	e,-	e,-	e,-
m4SgGen	o	o	o
m5SgGen	e,a	e,a	e,a
f1SgGen	a	a	e
f2SgGen	o	o	o
f3SgGen	e,-	e,-	e,-
f4SgGen	o	o	o
f5SgGen	e,a	e,a	e,a
n1SgGen	NA	NA	NA
n2SgGen	o	o	o
n3SgGen	e,-	e,-	e,-
n4SgGen	o	o	o
n5SgGen	NA	NA	NA
m1SgDat	a	a	e
m2SgDat	o	o	o
m3SgDat	e,-	e,-	e,-
m4SgDat	o	o	o
m5SgDat	e,a	e,a	e,a
f1SgDat	a	a	e
f2SgDat	o	o	o
f3SgDat	e,-	e,-	e,-
f4SgDat	o	o	o
f5SgDat	e,a	e,a	e,a
n1SgDat	NA	NA	NA
n2SgDat	o	o	o
n3SgDat	e,-	e,-	e,-
n4SgDat	o	o	o
n5SgDat	NA	NA	NA
m1SgAbl	a	a	a
m2SgAbl	o	o	o
m3SgAbl	e,-	e,-	e,-
m4SgAbl	o	o	o
m5SgAbl	e,a	e,a	e,a
f1SgAbl	a	a	a
f2SgAbl	o	o	o
f3SgAbl	e,-	e,-	e,-
f4SgAbl	o	o	o
f5SgAbl	e,a	e,a	e,a
n1SgAbl	NA	NA	NA
n2SgAbl	o	o	o
n3SgAbl	e,-	e,-	e,-
n4SgAbl	o	o	o
n5SgAbl	NA	NA	NA
m1PlNom	as	as	as
m2PlNom	os	os	as,os
m3PlNom	es,s	es,s	as,es,s
m4PlNom	os	os	as,os
m5PlNom	es,as	es,as	es,as
f1PlNom	as	as	as
f2PlNom	os	os	os
f3PlNom	es,s	es,s	es,s
f4PlNom	os	os	os
f5PlNom	es,as	es,as	es,as
n1PlNom	NA	NA	NA
n2PlNom	os	a,o	as
n3PlNom	es,s	a,e,-	as
n4PlNom	os	a,o	as
n5PlNom	NA	NA	NA
m1PlAcc	as	as	as
m2PlAcc	os	os	as,os
m3PlAcc	es,s	es,s	as,es,s
m4PlAcc	os	os	as,os
m5PlAcc	es,as	es,as	es,as
f1PlAcc	as	as	as
f2PlAcc	os	os	os
f3PlAcc	es,s	es,s	es,s
f4PlAcc	os	os	os
f5PlAcc	es,as	es,as	es,as
n1PlAcc	NA	NA	NA
n2PlAcc	os	a,o	as
n3PlAcc	es,s	a,e,-	as
n4PlAcc	os	a,o	as
n5PlAcc	NA	NA	NA
m1PlGen	as	as	as
m2PlGen	os	os	as,os
m3PlGen	es,s	es,s	as,es,s
m4PlGen	os	os	as,os
m5PlGen	es,as	es,as	es,as
f1PlGen	as	as	as
f2PlGen	os	os	os
f3PlGen	es,s	es,s	es,s
f4PlGen	os	os	os
f5PlGen	es,as	es,as	es,as
n1PlGen	NA	NA	NA
n2PlGen	os	a,o	as
n3PlGen	es,s	a,e,-	as
n4PlGen	os	a,o	as
n5PlGen	NA	NA	NA
m1PlDat	as	as	as
m2PlDat	os	os	as,os
m3PlDat	es,s	es,s	as,es,s
m4PlDat	os	os	as,os
m5PlDat	es,as	es,as	es,as
f1PlDat	as	as	as
f2PlDat	os	os	os
f3PlDat	es,s	es,s	es,s
f4PlDat	os	os	os
f5PlDat	es,as	es,as	es,as
n1PlDat	NA	NA	NA
n2PlDat	os	a,o	as
n3PlDat	es,s	a,e,-	as
n4PlDat	os	a,o	as
n5PlDat	NA	NA	NA
m1PlAbl	as	as	as
m2PlAbl	os	os	as,os
m3PlAbl	es,s	es,s	as,es,s
m4PlAbl	os	os	as,os
m5PlAbl	es,as	es,as	es,as
f1PlAbl	as	as	as
f2PlAbl	os	os	os
f3PlAbl	es,s	es,s	es,s
f4PlAbl	os	os	os
f5PlAbl	es,as	es,as	es,as
n1PlAbl	NA	NA	NA
n2PlAbl	os	a,o	as
n3PlAbl	es,s	a,e,-	as
n4PlAbl	os	a,o	as
n5PlAbl	NA	NA	NA
