Latin	English	Declension	Gender	Total	Prose	Poetry	Nom.Sg	Nom.Pl	Gen.Sg	Gen.Pl	Dat.Sg	Dat.Pl	Acc.Sg	Acc.Pl	Abl.Sg	Abl.Pl	Voc.Sg	Voc.Pl
cliens	customer, client	3	mh, fh	66	50	16	cliēns	clientēs	clientis	clientium	clientī	clientibus	clientem	clientēs	cliente	clientibus	cliēns	clientēs
simulacrum	image, likeness	2	n	66	47	19	simulācrum	simulācra	simulācrī	simulācrōrum	simulācrō	simulācrīs	simulācrum	simulācra	simulācrō	simulācrīs	simulācrum	simulācra
rector	guide, leader, director	3	mh	66	38	28	rector	rectōrēs	rectōris	rectōrum	rectōrī	rectōribus	rectōrem	rectōrēs	rectōre	rectōribus	rector	rectōrēs
humor	liquid, fluid, humour	3	m	66	35	31	hūmor	hūmōrēs	hūmōris	hūmōrum	hūmōrī	hūmōribus	hūmōrem	hūmōrēs	hūmōre	hūmōribus	hūmor	hūmōrēs
cena	dinner	1	f	65	37	28	cēna	cēnae	cēnae	cēnārum	cēnae	cēnīs	cēnam	cēnās	cēnā	cēnīs	cēna	cēnae
seges	cornfield	3	f	65	15	50	seges	segetēs	segetis	segetum	segetī	segetibus	segetem	segetēs	segete	segetibus	seges	segetēs
focus	hearth, fireplace	2	m	65	12	53	focus	focī	focī	focōrum	focō	focīs	focum	focōs	focō	focīs	foce	focī
villa	villa, estate, farm	1	f	64	49	15	vīlla	vīllae	vīllae	vīllārum	vīllae	vīllīs	vīllam	vīllās	vīllā	vīllīs	vīlla	vīllae
infans	infant	3	mh, fh	64	43	21	īnfāns	īnfantēs	īnfantis	īnfantium	īnfantī	īnfantibus	īnfantem	īnfantēs	īnfante	īnfantibus	īnfāns	īnfantēs
fabula	discourse, narrative, fable, tale, story	1	f	64	42	22	fābula	fābulae	fābulae	fābulārum	fābulae	fābulīs	fābulam	fābulās	fābulā	fābulīs	fābula	fābulae
patruus	paternal uncle, father's brother	2	mh	64	37	27	patruus	patruī	patruī	patruōrum	patruō	patruīs	patruum	patruōs	patruō	patruīs	patrue	patruī
