Latin	English	Declension	Gender	Total	Prose	Poetry	NomSg	NomPl	GenSg	GenPl	DatSg	DatPl	AccSg	AccPl	AblSg	AblPl	VocSg	VocPl	LocSg	LocPl
res	thing, matter, issue	5	f	2735	2519	216	rēs	rēs	reī	rērum	reī	rēbus	rem	rēs	rē	rēbus	rēs	rēs		
animus	mind, soul, courage, will	2	m	2407	2025	382	animus	animī	animī	animōrum	animō	animīs	animum	animōs	animō	animīs	anime	animī		
rex	king	3	mh	1544	1281	263	rēx	rēgēs	rēgis	rēgum	rēgī	rēgibus	rēgem	rēgēs	rēge	rēgibus	rēx	rēgēs		
locus	place, spot	2	m	1516	1259	257	locus	locī/loca	locī	locōrum	locō	locīs	locum	locōs/loca	locō	locīs	loce	locī/loca		
deus	god	2	mh	1507	905	602	deus	dī/diī/deī	deī	deōrum/deum	deō	dīs/diīs/deīs	deum	deōs	deō	dīs/diīs/deīs	deus/dee	dī/diī/deī		
dies	day	5	m	1458	1086	372	diēs	diēs	diēī	diērum	diēī	diēbus	diem	diēs	diē	diēbus	diēs	diēs		
manus	hand	4	f	1369	781	588	manus	manūs	manūs	manuum	manuī	manibus	manum	manūs	manū	manibus	manus	manūs		
homo	human	3	mh	1273	1151	122	homō	hominēs	hominis	hominum	hominī	hominibus	hominem	hominēs	homine	hominibus	homō	hominēs		
hostis	enemy, stranger	3	mh, fh	1230	1122	108	hostis	hostēs	hostis	hostium	hostī	hostibus	hostem	hostēs	hoste	hostibus	hostis	hostēs		
vita	life	1	f	1174	979	195	vīta	vītae	vītae	vītārum	vītae	vītīs	vītam	vītās	vītā	vītīs	vīta	vītae		
corpus	body	3	n	1174	907	267	corpus	corpora	corporis	corporum	corporī	corporibus	corpus	corpora	corpore	corporibus	corpus	corpora		
bellum	war	2	n	1167	962	205	bellum	bella	bellī	bellōrum	bellō	bellīs	bellum	bella	bellō	bellīs	bellum	bella		
urbs	city	3	f	1116	841	275	urbs	urbēs	urbis	urbium	urbī	urbibus	urbem	urbēs	urbe	urbibus	urbs	urbēs		
tempus	time	3	n	1113	907	206	tempus	tempora	temporis	temporum	temporī	temporibus	tempus	tempora	tempore	temporibus	tempus	tempora		
virtus	manliness, courage, virtue, character	3	f	1057	956	101	virtūs	virtūtēs	virtūtis	virtūtum	virtūtī	virtūtibus	virtūtem	virtūtēs	virtūte	virtūtibus	virtūs	virtūtēs		
pater	father	3	mh	1053	668	385	pater	patrēs	patris	patrum	patrī	patribus	patrem	patrēs	patre	patribus	pater	patrēs		
vir	man	2	mh	1030	737	293	vir	virī	virī	virōrum	virō	virīs	virum	virōs	virō	virīs	vir/vire	virī		
domus	house, home	4	f	946	533	413	domus	domūs	domūs/domī	domuum/domōrum	domuī/domō/domū	domibus	domum	domūs/domōs	domū/domō	domibus	domus	domūs	domī	-
vis	force, power	3	f	929	769	160	vīs	vīrēs	vīs	vīrium	vī	vīribus	vim	vīrēs/vīrīs	vī	vīribus	vīs	vīrēs		
mors	death	3	f	921	675	246	mors	mortēs	mortis	mortium	mortī	mortibus	mortem	mortēs	morte	mortibus	mors	mortēs		
bonum	good	2	n	919	873	46	bonum	bona	bonī	bonōrum	bonō	bonīs	bonum	bona	bonō	bonīs	bonum	bona		
malum	evil	2	n	908	635	273	malum	mala	malī	malōrum	malō	malīs	malum	mala	malō	malīs	malum	mala		
terra	earth	1	f	905	435	470	terra	terrae	terrae	terrārum	terrae	terrīs	terram	terrās	terrā	terrīs	terra	terrae		
fortuna	fortune, luck, destiny	1	f	886	784	102	fortūna	fortūnae	fortūnae	fortūnārum	fortūnae	fortūnīs	fortūnam	fortūnās	fortūnā	fortūnīs	fortūna	fortūnae		
arma	defensive arms, war, soldiers, defense, tools	2	n	864	596	268	-	arma	-	armōrum	-	armīs	-	arma	-	armīs	-	arma		
miles	soldier	3	m	842	781	61	mīles	mīlitēs	mīlitis	mīlitum	mīlitī	mīlitibus	mīlitem	mīlitēs	mīlite	mīlitibus	mīles	mīlitēs		
populus	the people	2	m	822	639	183	populus	populī	populī	populōrum	populō	populīs	populum	populōs	populō	populīs	popule	populī		
natura	nature	1	f	769	711	58	nātūra	nātūrae	nātūrae	nātūrārum	nātūrae	nātūrīs	nātūram	nātūrās	nātūrā	nātūrīs	nātūra	nātūrae		
nomen	name	3	n	756	572	184	nōmen	nōmina	nōminis	nōminum	nōminī	nōminibus	nōmen	nōmina	nōmine	nōminibus	nōmen	nōmina		
mare	sea	3	n	660	399	261	mare	maria	maris	marium	marī	maribus	mare	maria	marī	maribus	mare	maria		
concilium	plan, council, judgment, advice	2	n	657	608	49	concilium	concilia	conciliī	conciliōrum	conciliō	conciliīs	concilium	concilia	conciliō	conciliīs	concilium	concilia		
imperium	empire, state, realm, right, power	2	n	652	559	93	imperium	imperia	imperiī/imperī	imperiōrum	imperiō	imperiīs	imperium	imperia	imperiō	imperiīs	imperium	imperia		
annus	year	2	m	650	485	165	annus	annī	annī	annōrum	annō	annīs	annum	annōs	annō	annīs	anne	annī		
castra	camp, military service	2	n	635	586	49	-	castra	-	castrōrum	-	castrīs	-	castra	-	castrīs	-	castra		
mos	custom, usage, rule	3	m	635	502	133	mōs	mōrēs	mōris	mōrum	mōrī	mōribus	mōrem	mōrēs	mōre	mōribus	mōs	mōrēs		
modus	measure, manner	2	m	634	523	111	modus	modī	modī	modōrum	modō	modīs	modum	modōs	modō	modīs	mode	modī		
nox	night	3	f	622	316	306	nox	noctēs	noctis	noctium	noctī	noctibus	noctem	noctēs	nocte	noctibus	nox	noctēs		
genus	birth, origin, kind, type	3	n	613	430	183	genus	genera	generis	generum	generī	generibus	genus	genera	genere	generibus	genus	genera		
caput	head	3	n	607	307	300	caput	capita	capitis	capitum	capitī	capitibus	caput	capita	capite	capitibus	caput	capita		
regnum	royal power, kingdom, royalty	2	n	607	298	309	rēgnum	rēgna	rēgnī	rēgnōrum	rēgnō	rēgnīs	rēgnum	rēgna	rēgnō	rēgnīs	rēgnum	rēgna		
ratio	reason, explanation, calculation	3	f	594	563	31	ratiō	ratiōnēs	ratiōnis	ratiōnum	ratiōnī	ratiōnibus	ratiōnem	ratiōnēs	ratiōne	ratiōnibus	ratiō	ratiōnēs		
ira	anger	1	f	585	434	151	īra	īrae	īrae	īrārum	īrae	īrīs	īram	īrās	īrā	īrīs	īra	īrae		
fides	faith	5	f	581	423	158	fidēs	fidēs	fideī	fidērum	fideī	fidēbus	fidem	fidēs	fidē	fidēbus	fidēs	fidēs		
gens	tribe, people, family	3	f	577	429	148	gēns	gentēs	gentis	gentium	gentī	gentibus	gentem	gentēs	gente	gentibus	gēns	gentēs		
vox	voice	3	f	568	358	210	vōx	vōcēs	vōcis	vōcum	vōcī	vōcibus	vōcem	vōcēs	vōce	vōcibus	vōx	vōcēs		
caelum	sky	2	n	565	202	363	caelum	caela	caelī	caelōrum	caelō	caelīs	caelum	caela	caelō	caelīs	caelum	caela		
amicus	friend	2	m	564	470	94	amīcus	amīcī	amīcī	amīcōrum	amīcō	amīcīs	amīcum	amīcōs	amīcō	amīcīs	amīce	amīcī		
amica	friend	1	f	564	470	94	amīca	amīcae	amīcae	amīcārum	amīcae	amīcīs	amīcam	amīcās	amīcā	amīcīs	amīca	amīcae		
periculum	trial, risk, ruin	2	n	559	517	42	perīculum	perīcula	perīculī	perīculōrum	perīculō	perīculīs	perīculum	perīcula	perīculō	perīculīs	perīculum	perīcula		
spes	hope	5	f	557	475	82	spēs	spēs	speī	spērum	speī	spēbus	spem	spēs	spē	spēbus	spēs	spēs		
verbum	word	2	n	549	378	171	verbum	verba	verbī	verbōrum	verbō	verbīs	verbum	verba	verbō	verbīs	verbum	verba		
metus	fear, dread	4	m	548	430	118	metus	metūs	metūs	metuum	metuī	metibus	metum	metūs	metū	metibus	metus	metūs		
mater	mother	3	fh	544	220	324	māter	mātrēs	mātris	mātrum	mātrī	mātribus	mātrem	mātrēs	mātre	mātribus	māter	mātrēs		
dolor	pain	3	m	540	371	169	dolor	dolōrēs	dolōris	dolōrum	dolōrī	dolōribus	dolōrem	dolōrēs	dolōre	dolōribus	dolor	dolōrēs		
amor	love	3	m	539	158	381	amor	amōrēs	amōris	amōrum	amōrī	amōribus	amōrem	amōrēs	amōre	amōribus	amor	amōrēs		
mens	mind	3	f	538	324	214	mēns	mentēs	mentis	mentium	mentī	mentibus	mentem	mentēs	mente	mentibus	mēns	mentēs		
iter	route, journey	3	n	532	433	99	iter	itinera	itineris	itinerum	itinerī	itineribus	iter	itinera	itinere	itineribus	iter	itinera		
scelus	crime, criminal, villain	3	n	531	281	250	scelus	scelera	sceleris	scelerum	scelerī	sceleribus	scelus	scelera	scelere	sceleribus	scelus	scelera		
finis	end, limit, border	3	m	529	436	93	fīnis	fīnēs	fīnis	fīnium	fīnī	fīnibus	fīnem	fīnēs/fīnīs	fīne/fīnī	fīnibus	fīnis	fīnēs		
eques	horseman, rider, knight	3	mh	526	500	26	eques	equitēs	equitis	equitum	equitī	equitibus	equitem	equitēs	equite	equitibus	eques	equitēs		
princeps	leader, head, chief	3	mh	516	503	13	prīnceps	prīncipēs	prīncipis	prīncipum	prīncipī	prīncipibus	prīncipem	prīncipēs	prīncipe	prīncipibus	prīnceps	prīncipēs		
ignis	fire	3	m	505	233	272	ignis	ignēs	ignis	ignium	ignī	ignibus	ignem	ignēs/ignīs	igne/ignī	ignibus	ignis	ignēs		
oculus	eye	2	m	496	327	169	oculus	oculī	oculī	oculōrum	oculō	oculīs	oculum	oculōs	oculō	oculīs	ocule	oculī		
cura	care, concern	1	f	492	287	205	cūra	cūrae	cūrae	cūrārum	cūrae	cūrīs	cūram	cūrās	cūrā	cūrīs	cūra	cūrae		
consul	consul	3	mh	480	452	28	cōnsul	cōnsulēs	cōnsulis	cōnsulum	cōnsulī	cōnsulibus	cōnsulem	cōnsulēs	cōnsule	cōnsulibus	cōnsul	cōnsulēs		
dux	leader, commander	3	mh	480	362	118	dux	ducēs	ducis	ducum	ducī	ducibus	ducem	ducēs	duce	ducibus	dux	ducēs		
os	mouth	3	n	478	172	306	ōs	ōra	ōris	ōrum	ōrī	ōribus	ōs	ōra	ōre	ōribus	ōs	ōra		
labor	work, labour	3	m	475	281	194	labor	labōrēs	labōris	labōrum	labōrī	labōribus	labōrem	labōrēs	labōre	labōribus	labor	labōrēs		
lex	law	3	f	472	380	92	lēx	lēgēs	lēgis	lēgum	lēgī	lēgibus	lēgem	lēgēs	lēge	lēgibus	lēx	lēgēs		
copia	supply, abundance	1	f	469	444	25	cōpia	cōpiae	cōpiae	cōpiārum	cōpiae	cōpiīs	cōpiam	cōpiās	cōpiā	cōpiīs	cōpia	cōpiae		
pes	foot	3	m	447	233	214	pēs	pedēs	pedis	pedum	pedī	pedibus	pedem	pedēs	pede	pedibus	pēs	pedēs		
filius	son	2	m	446	415	31	fīlius	fīliī	fīliī/fīlī	fīliōrum	fīliō	fīliīs	fīlium	fīliōs	fīliō	fīliīs	fīlī	fīliī		
ars	art, skill, craft	3	f	446	332	114	ars	artēs	artis	artium	artī	artibus	artem	artēs	arte	artibus	ars	artēs		
signum	mark, sign, emblem	2	n	441	328	113	signum	signa	signī	signōrum	signō	signīs	signum	signa	signō	signīs	signum	signa		
via	road, street, way	1	f	439	216	223	via	viae	viae	viārum	viae	viīs	viam	viās	viā	viīs	via	viae		
parens	parent, founder	3	mh	439	207	232	parēns	parentēs	parentis	parentum	parentī	parentibus	parentem	parentēs	parente	parentibus	parēns	parentēs		
vitium	crime, vice	2	n	438	391	47	vitium	vitia	vitiī	vitiōrum	vitiō	vitiīs	vitium	vitia	vitiō	vitiīs	vitium	vitia		
honor	honor	3	m	429	342	87	honor	honōrēs	honōris	honōrum	honōrī	honōribus	honōrem	honōrēs	honōre	honōribus	honor	honōrēs		
