Form	Root	Suffix	Case	Gender	Declension	Parent	English	Total	Prose	Poetry
rēs	r	ēs	Nom.Sg	f	5	res	thing, matter, issue	2735	2519	216
rēs	r	ēs	Nom.Pl	f	5	res	thing, matter, issue	2735	2519	216
reī	r	eī	Gen.Sg	f	5	res	thing, matter, issue	2735	2519	216
rērum	r	ērum	Gen.Pl	f	5	res	thing, matter, issue	2735	2519	216
reī	r	eī	Dat.Sg	f	5	res	thing, matter, issue	2735	2519	216
rēbus	r	ēbus	Dat.Pl	f	5	res	thing, matter, issue	2735	2519	216
rem	r	em	Acc.Sg	f	5	res	thing, matter, issue	2735	2519	216
rēs	r	ēs	Acc.Pl	f	5	res	thing, matter, issue	2735	2519	216
rē	r	ē	Abl.Sg	f	5	res	thing, matter, issue	2735	2519	216
rēbus	r	ēbus	Abl.Pl	f	5	res	thing, matter, issue	2735	2519	216
rēs	r	ēs	Voc.Sg	f	5	res	thing, matter, issue	2735	2519	216
rēs	r	ēs	Voc.Pl	f	5	res	thing, matter, issue	2735	2519	216
animus	anim	us	Nom.Sg	m	2	animus	mind, soul, courage, will	2407	2025	382
animī	anim	ī	Nom.Pl	m	2	animus	mind, soul, courage, will	2407	2025	382
animī	anim	ī	Gen.Sg	m	2	animus	mind, soul, courage, will	2407	2025	382
animōrum	anim	ōrum	Gen.Pl	m	2	animus	mind, soul, courage, will	2407	2025	382
animō	anim	ō	Dat.Sg	m	2	animus	mind, soul, courage, will	2407	2025	382
animīs	anim	īs	Dat.Pl	m	2	animus	mind, soul, courage, will	2407	2025	382
animum	anim	um	Acc.Sg	m	2	animus	mind, soul, courage, will	2407	2025	382
animōs	anim	ōs	Acc.Pl	m	2	animus	mind, soul, courage, will	2407	2025	382
animō	anim	ō	Abl.Sg	m	2	animus	mind, soul, courage, will	2407	2025	382
animīs	anim	īs	Abl.Pl	m	2	animus	mind, soul, courage, will	2407	2025	382
anime	anim	e	Voc.Sg	m	2	animus	mind, soul, courage, will	2407	2025	382
animī	anim	ī	Voc.Pl	m	2	animus	mind, soul, courage, will	2407	2025	382
rēx	rēx	NULL	Nom.Sg	mh	3	rex	king	1544	1281	263
rēgēs	rēg	ēs	Nom.Pl	mh	3	rex	king	1544	1281	263
rēgis	rēg	is	Gen.Sg	mh	3	rex	king	1544	1281	263
rēgum	rēg	um	Gen.Pl	mh	3	rex	king	1544	1281	263
rēgī	rēg	ī	Dat.Sg	mh	3	rex	king	1544	1281	263
rēgibus	rēg	ibus	Dat.Pl	mh	3	rex	king	1544	1281	263
rēgem	rēg	em	Acc.Sg	mh	3	rex	king	1544	1281	263
rēgēs	rēg	ēs	Acc.Pl	mh	3	rex	king	1544	1281	263
rēge	rēg	e	Abl.Sg	mh	3	rex	king	1544	1281	263
rēgibus	rēg	ibus	Abl.Pl	mh	3	rex	king	1544	1281	263
rēx	rēx	NULL	Voc.Sg	mh	3	rex	king	1544	1281	263
rēgēs	rēg	ēs	Voc.Pl	mh	3	rex	king	1544	1281	263
locus	loc	us	Nom.Sg	m	2	locus	place, spot	1516	1259	257
locī	loc	ī	Nom.Pl	m	2	locus	place, spot	1516	1259	257
locī	loc	ī	Gen.Sg	m	2	locus	place, spot	1516	1259	257
locōrum	loc	ōrum	Gen.Pl	m	2	locus	place, spot	1516	1259	257
locō	loc	ō	Dat.Sg	m	2	locus	place, spot	1516	1259	257
locīs	loc	īs	Dat.Pl	m	2	locus	place, spot	1516	1259	257
locum	loc	um	Acc.Sg	m	2	locus	place, spot	1516	1259	257
locōs	loc	ōs	Acc.Pl	m	2	locus	place, spot	1516	1259	257
locō	loc	ō	Abl.Sg	m	2	locus	place, spot	1516	1259	257
locīs	loc	īs	Abl.Pl	m	2	locus	place, spot	1516	1259	257
loce	loc	e	Voc.Sg	m	2	locus	place, spot	1516	1259	257
locī	loc	ī	Voc.Pl	m	2	locus	place, spot	1516	1259	257
deus	de	us	Nom.Sg	mh	2	deus	god	1507	905	602
dī	d	ī	Nom.Pl	mh	2	deus	god	1507	905	602
deī	de	ī	Gen.Sg	mh	2	deus	god	1507	905	602
deōrum	de	ōrum	Gen.Pl	mh	2	deus	god	1507	905	602
deō	de	ō	Dat.Sg	mh	2	deus	god	1507	905	602
dīs	d	īs	Dat.Pl	mh	2	deus	god	1507	905	602
deum	de	um	Acc.Sg	mh	2	deus	god	1507	905	602
deōs	de	ōs	Acc.Pl	mh	2	deus	god	1507	905	602
deō	de	ō	Abl.Sg	mh	2	deus	god	1507	905	602
dīs	d	īs	Abl.Pl	mh	2	deus	god	1507	905	602
deus	de	us	Voc.Sg	mh	2	deus	god	1507	905	602
dī	d	ī	Voc.Pl	mh	2	deus	god	1507	905	602
diēs	di	ēs	Nom.Sg	m	5	dies	day	1458	1086	372
diēs	di	ēs	Nom.Pl	m	5	dies	day	1458	1086	372
diēī	di	ēī	Gen.Sg	m	5	dies	day	1458	1086	372
diērum	di	ērum	Gen.Pl	m	5	dies	day	1458	1086	372
diēī	di	ēī	Dat.Sg	m	5	dies	day	1458	1086	372
diēbus	di	ēbus	Dat.Pl	m	5	dies	day	1458	1086	372
diem	di	em	Acc.Sg	m	5	dies	day	1458	1086	372
diēs	di	ēs	Acc.Pl	m	5	dies	day	1458	1086	372
diē	di	ē	Abl.Sg	m	5	dies	day	1458	1086	372
diēbus	di	ēbus	Abl.Pl	m	5	dies	day	1458	1086	372
diēs	di	ēs	Voc.Sg	m	5	dies	day	1458	1086	372
diēs	di	ēs	Voc.Pl	m	5	dies	day	1458	1086	372
manus	man	us	Nom.Sg	f	4	manus	hand	1369	781	588
manūs	man	ūs	Nom.Pl	f	4	manus	hand	1369	781	588
manūs	man	ūs	Gen.Sg	f	4	manus	hand	1369	781	588
manuum	man	uum	Gen.Pl	f	4	manus	hand	1369	781	588
manuī	man	uī	Dat.Sg	f	4	manus	hand	1369	781	588
manibus	man	ibus	Dat.Pl	f	4	manus	hand	1369	781	588
manum	man	um	Acc.Sg	f	4	manus	hand	1369	781	588
manūs	man	ūs	Acc.Pl	f	4	manus	hand	1369	781	588
manū	man	ū	Abl.Sg	f	4	manus	hand	1369	781	588
manibus	man	ibus	Abl.Pl	f	4	manus	hand	1369	781	588
manus	man	us	Voc.Sg	f	4	manus	hand	1369	781	588
manūs	man	ūs	Voc.Pl	f	4	manus	hand	1369	781	588
homō	homō	NULL	Nom.Sg	mh	3	homo	human	1273	1151	122
hominēs	homin	ēs	Nom.Pl	mh	3	homo	human	1273	1151	122
hominis	homin	is	Gen.Sg	mh	3	homo	human	1273	1151	122
hominum	homin	um	Gen.Pl	mh	3	homo	human	1273	1151	122
hominī	homin	ī	Dat.Sg	mh	3	homo	human	1273	1151	122
hominibus	homin	ibus	Dat.Pl	mh	3	homo	human	1273	1151	122
hominem	homin	em	Acc.Sg	mh	3	homo	human	1273	1151	122
hominēs	homin	ēs	Acc.Pl	mh	3	homo	human	1273	1151	122
homine	homin	e	Abl.Sg	mh	3	homo	human	1273	1151	122
hominibus	homin	ibus	Abl.Pl	mh	3	homo	human	1273	1151	122
homō	homō	NULL	Voc.Sg	mh	3	homo	human	1273	1151	122
hominēs	homin	ēs	Voc.Pl	mh	3	homo	human	1273	1151	122
hostis	host	is	Nom.Sg	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostēs	host	ēs	Nom.Pl	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostis	host	is	Gen.Sg	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostium	host	ium	Gen.Pl	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostī	host	ī	Dat.Sg	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostibus	host	ibus	Dat.Pl	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostem	host	em	Acc.Sg	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostēs	host	ēs	Acc.Pl	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hoste	host	e	Abl.Sg	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostibus	host	ibus	Abl.Pl	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostis	host	is	Voc.Sg	mh, fh	3	hostis	enemy, stranger	1230	1122	108
hostēs	host	ēs	Voc.Pl	mh, fh	3	hostis	enemy, stranger	1230	1122	108
vīta	vīt	a	Nom.Sg	f	1	vita	life	1174	979	195
vītae	vīt	ae	Nom.Pl	f	1	vita	life	1174	979	195
vītae	vīt	ae	Gen.Sg	f	1	vita	life	1174	979	195
vītārum	vīt	ārum	Gen.Pl	f	1	vita	life	1174	979	195
vītae	vīt	ae	Dat.Sg	f	1	vita	life	1174	979	195
vītīs	vīt	īs	Dat.Pl	f	1	vita	life	1174	979	195
vītam	vīt	am	Acc.Sg	f	1	vita	life	1174	979	195
vītās	vīt	ās	Acc.Pl	f	1	vita	life	1174	979	195
vītā	vīt	ā	Abl.Sg	f	1	vita	life	1174	979	195
vītīs	vīt	īs	Abl.Pl	f	1	vita	life	1174	979	195
vīta	vīt	a	Voc.Sg	f	1	vita	life	1174	979	195
vītae	vīt	ae	Voc.Pl	f	1	vita	life	1174	979	195
corpus	corpus	NULL	Nom.Sg	n	3	corpus	body	1174	907	267
corpora	corpor	a	Nom.Pl	n	3	corpus	body	1174	907	267
corporis	corpor	is	Gen.Sg	n	3	corpus	body	1174	907	267
corporum	corpor	um	Gen.Pl	n	3	corpus	body	1174	907	267
corporī	corpor	ī	Dat.Sg	n	3	corpus	body	1174	907	267
corporibus	corpor	ibus	Dat.Pl	n	3	corpus	body	1174	907	267
corpus	corpus	NULL	Acc.Sg	n	3	corpus	body	1174	907	267
corpora	corpor	a	Acc.Pl	n	3	corpus	body	1174	907	267
corpore	corpor	e	Abl.Sg	n	3	corpus	body	1174	907	267
corporibus	corpor	ibus	Abl.Pl	n	3	corpus	body	1174	907	267
corpus	corpus	NULL	Voc.Sg	n	3	corpus	body	1174	907	267
corpora	corpor	a	Voc.Pl	n	3	corpus	body	1174	907	267
bellum	bell	um	Nom.Sg	n	2	bellum	war	1167	962	205
bella	bell	a	Nom.Pl	n	2	bellum	war	1167	962	205
bellī	bell	ī	Gen.Sg	n	2	bellum	war	1167	962	205
bellōrum	bell	ōrum	Gen.Pl	n	2	bellum	war	1167	962	205
bellō	bell	ō	Dat.Sg	n	2	bellum	war	1167	962	205
bellīs	bell	īs	Dat.Pl	n	2	bellum	war	1167	962	205
bellum	bell	um	Acc.Sg	n	2	bellum	war	1167	962	205
bella	bell	a	Acc.Pl	n	2	bellum	war	1167	962	205
bellō	bell	ō	Abl.Sg	n	2	bellum	war	1167	962	205
bellīs	bell	īs	Abl.Pl	n	2	bellum	war	1167	962	205
bellum	bell	um	Voc.Sg	n	2	bellum	war	1167	962	205
bella	bell	a	Voc.Pl	n	2	bellum	war	1167	962	205
urbs	urbs	NULL	Nom.Sg	f	3	urbs	city	1116	841	275
urbēs	urb	ēs	Nom.Pl	f	3	urbs	city	1116	841	275
urbis	urb	is	Gen.Sg	f	3	urbs	city	1116	841	275
urbium	urb	ium	Gen.Pl	f	3	urbs	city	1116	841	275
urbī	urb	ī	Dat.Sg	f	3	urbs	city	1116	841	275
urbibus	urb	ibus	Dat.Pl	f	3	urbs	city	1116	841	275
urbem	urb	em	Acc.Sg	f	3	urbs	city	1116	841	275
urbēs	urb	ēs	Acc.Pl	f	3	urbs	city	1116	841	275
urbe	urb	e	Abl.Sg	f	3	urbs	city	1116	841	275
urbibus	urb	ibus	Abl.Pl	f	3	urbs	city	1116	841	275
urbs	urbs	NULL	Voc.Sg	f	3	urbs	city	1116	841	275
urbēs	urb	ēs	Voc.Pl	f	3	urbs	city	1116	841	275
tempus	tempus	NULL	Nom.Sg	n	3	tempus	time	1113	907	206
tempora	tempor	a	Nom.Pl	n	3	tempus	time	1113	907	206
temporis	tempor	is	Gen.Sg	n	3	tempus	time	1113	907	206
temporum	tempor	um	Gen.Pl	n	3	tempus	time	1113	907	206
temporī	tempor	ī	Dat.Sg	n	3	tempus	time	1113	907	206
temporibus	tempor	ibus	Dat.Pl	n	3	tempus	time	1113	907	206
tempus	tempus	NULL	Acc.Sg	n	3	tempus	time	1113	907	206
tempora	tempor	a	Acc.Pl	n	3	tempus	time	1113	907	206
tempore	tempor	e	Abl.Sg	n	3	tempus	time	1113	907	206
temporibus	tempor	ibus	Abl.Pl	n	3	tempus	time	1113	907	206
tempus	tempus	NULL	Voc.Sg	n	3	tempus	time	1113	907	206
tempora	tempor	a	Voc.Pl	n	3	tempus	time	1113	907	206
virtūs	virtūs	NULL	Nom.Sg	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtēs	virtūt	ēs	Nom.Pl	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtis	virtūt	is	Gen.Sg	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtum	virtūt	um	Gen.Pl	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtī	virtūt	ī	Dat.Sg	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtibus	virtūt	ibus	Dat.Pl	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtem	virtūt	em	Acc.Sg	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtēs	virtūt	ēs	Acc.Pl	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūte	virtūt	e	Abl.Sg	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtibus	virtūt	ibus	Abl.Pl	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūs	virtūs	NULL	Voc.Sg	f	3	virtus	manliness, courage, virtue, character	1057	956	101
virtūtēs	virtūt	ēs	Voc.Pl	f	3	virtus	manliness, courage, virtue, character	1057	956	101
pater	pater	NULL	Nom.Sg	mh	3	pater	father	1053	668	385
patrēs	patr	ēs	Nom.Pl	mh	3	pater	father	1053	668	385
patris	patr	is	Gen.Sg	mh	3	pater	father	1053	668	385
patrum	patr	um	Gen.Pl	mh	3	pater	father	1053	668	385
patrī	patr	ī	Dat.Sg	mh	3	pater	father	1053	668	385
patribus	patr	ibus	Dat.Pl	mh	3	pater	father	1053	668	385
patrem	patr	em	Acc.Sg	mh	3	pater	father	1053	668	385
patrēs	patr	ēs	Acc.Pl	mh	3	pater	father	1053	668	385
patre	patr	e	Abl.Sg	mh	3	pater	father	1053	668	385
patribus	patr	ibus	Abl.Pl	mh	3	pater	father	1053	668	385
pater	pater	NULL	Voc.Sg	mh	3	pater	father	1053	668	385
patrēs	patr	ēs	Voc.Pl	mh	3	pater	father	1053	668	385
vir	vir	NULL	Nom.Sg	mh	2	vir	man	1030	737	293
virī	vir	ī	Nom.Pl	mh	2	vir	man	1030	737	293
virī	vir	ī	Gen.Sg	mh	2	vir	man	1030	737	293
virōrum	vir	ōrum	Gen.Pl	mh	2	vir	man	1030	737	293
virō	vir	ō	Dat.Sg	mh	2	vir	man	1030	737	293
virīs	vir	īs	Dat.Pl	mh	2	vir	man	1030	737	293
virum	vir	um	Acc.Sg	mh	2	vir	man	1030	737	293
virōs	vir	ōs	Acc.Pl	mh	2	vir	man	1030	737	293
virō	vir	ō	Abl.Sg	mh	2	vir	man	1030	737	293
virīs	vir	īs	Abl.Pl	mh	2	vir	man	1030	737	293
vir	vir	NULL	Voc.Sg	mh	2	vir	man	1030	737	293
virī	vir	ī	Voc.Pl	mh	2	vir	man	1030	737	293
domus	dom	us	Nom.Sg	f	4	domus	house, home	946	533	413
domūs	dom	ūs	Nom.Pl	f	4	domus	house, home	946	533	413
domūs	dom	ūs	Gen.Sg	f	4	domus	house, home	946	533	413
domuum	dom	uum	Gen.Pl	f	4	domus	house, home	946	533	413
domuī	dom	uī	Dat.Sg	f	4	domus	house, home	946	533	413
domibus	dom	ibus	Dat.Pl	f	4	domus	house, home	946	533	413
domum	dom	um	Acc.Sg	f	4	domus	house, home	946	533	413
domūs	dom	ūs	Acc.Pl	f	4	domus	house, home	946	533	413
domū	dom	ū	Abl.Sg	f	4	domus	house, home	946	533	413
domibus	dom	ibus	Abl.Pl	f	4	domus	house, home	946	533	413
