Word	Declension	Gender	TotFreq	Declined	0	1
acies:Nom.Sg	5	f	328	aciēs	ees	eeii
acies:Abl.Pl	5	f	328	aciēbus	eebus	eeii
acies:Dat.Sg	5	f	328	aciēī	eeii	eeii
acies:Acc.Pl	5	f	328	aciēs	ees	eeii
acies:Gen.Sg	5	f	328	aciēī	eeii	eeii
acies:Gen.Pl	5	f	328	aciērum	eerum	eeii
acies:Abl.Sg	5	f	328	aciē	ee	eeii
acies:Nom.Pl	5	f	328	aciēs	ees	eeii
acies:Acc.Sg	5	f	328	aciem	em	eeii
acies:Dat.Pl	5	f	328	aciēbus	eebus	eeii
cena:Nom.Sg	1	f	65	cēna	a	eeii
cena:Abl.Pl	1	f	65	cēnīs	iis	eeii
cena:Dat.Sg	1	f	65	cēnae	ae	eeii
cena:Acc.Pl	1	f	65	cēnās	aas	eeii
cena:Gen.Sg	1	f	65	cēnae	ae	eeii
cena:Gen.Pl	1	f	65	cēnārum	aarum	eeii
cena:Abl.Sg	1	f	65	cēnā	aa	eeii
cena:Nom.Pl	1	f	65	cēnae	ae	eeii
cena:Acc.Sg	1	f	65	cēnam	am	eeii
cena:Dat.Pl	1	f	65	cēnīs	iis	eeii
nix:Nom.Sg	3	f	83	nix		eeii
nix:Abl.Pl	3	f	83	nivibus	ibus	eeii
nix:Dat.Sg	3	f	83	nivī	ii	eeii
nix:Acc.Pl	3	f	83	nivēs	ees	eeii
nix:Gen.Sg	3	f	83	nivis	is	eeii
nix:Gen.Pl	3	f	83	nivium	jum	eeii
nix:Abl.Sg	3	f	83	nive	e	eeii
nix:Nom.Pl	3	f	83	nivēs	ees	eeii
nix:Acc.Sg	3	f	83	nivem	em	eeii
nix:Dat.Pl	3	f	83	nivibus	ibus	eeii
somnus:Nom.Sg	2	m	200	somnus	us	eeii
somnus:Abl.Pl	2	m	200	somnīs	iis	eeii
somnus:Dat.Sg	2	m	200	somnō	oo	eeii
somnus:Acc.Pl	2	m	200	somnōs	oos	eeii
somnus:Gen.Sg	2	m	200	somnī	ii	eeii
somnus:Gen.Pl	2	m	200	somnōrum	oorum	eeii
somnus:Abl.Sg	2	m	200	somnō	oo	eeii
somnus:Nom.Pl	2	m	200	somnī	ii	eeii
somnus:Acc.Sg	2	m	200	somnum	um	eeii
somnus:Dat.Pl	2	m	200	somnīs	iis	eeii
