Declined Noun	0	1	2
aciēs	ees	ee	ee
aciēbus	eebus	ee	ee
aciēī	eeii	ee	ee
aciēs	ees	ee	ee
aciēī	eeii	ee	ee
aciērum	eerum	ee	ee
aciē	ee	ee	ee
aciēs	ees	ee	ee
aciem	em	ee	ee
aciēbus	eebus	ee	ee
cēna	na	ee	ee
cēnīs	niis	ee	ee
cēnae	nae	ee	ee
cēnās	naas	ee	ee
cēnae	nae	ee	ee
cēnārum	naarum	ee	ee
cēnā	naa	ee	ee
cēnae	nae	ee	ee
cēnam	nam	ee	ee
cēnīs	niis	ee	ee
nix		ee	ee
nivibus	wibus	ee	ee
nivī	wii	ee	ee
nivēs	wees	ee	ee
nivis	wis	ee	ee
nivium	wium	ee	ee
nive	we	ee	ee
nivēs	wees	ee	ee
nivem	wem	ee	ee
nivibus	wibus	ee	ee
somnus	nus	ee	ee
somnīs	niis	ee	ee
somnō	noo	ee	ee
somnōs	noos	ee	ee
somnī	nii	ee	ee
somnōrum	noorum	ee	ee
somnō	noo	ee	ee
somnī	nii	ee	ee
somnum	num	ee	ee
somnīs	niis	ee	ee
