Word	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	aciēs	ēs	ēs	ōrum	ōrum	ōrum	ēs	ēs	ēs	ēs	ēs	ēs
acies:Abl.Pl	aciēbus	ēbus	ōs	NULL	um	um	uum	uum	um	uum	um	em
acies:Dat.Sg	aciēī	ēī	ūs	NULL	um	um	um	um	um	um	ū	ū
acies:Acc.Pl	aciēs	ēs	ēs	ōrum	ōrum	ōrum	ēs	ēs	ēs	ēs	ēs	ēs
acies:Gen.Sg	aciēī	ēī	ūs	NULL	ū	um	um	ū	um	um	ī	ī
acies:Gen.Pl	aciērum	ērum	ae	īs	um	um	um	um	um	um	um	um
acies:Abl.Sg	aciē	ē	e	ō	ō	ō	e	ō	ō	e	e	e
acies:Nom.Pl	aciēs	ēs	ēs	ōrum	ōrum	ōrum	ēs	ēs	ēs	ēs	ēs	ēs
acies:Acc.Sg	aciem	em	uum	uum	um	um	um	um	um	um	um	um
acies:Dat.Pl	aciēbus	ēbus	ōs	ū	ī	um	uī	uī	um	um	uī	ēs
aditus:Nom.Sg	aditus	us	ōs	ī	ī	ī	ī	ī	ī	ī	ī	ī
aditus:Abl.Pl	aditibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aditus:Dat.Sg	adituī	uī	um	ū	ū	ī	ī	ī	ī	ī	ī	ī
aditus:Acc.Pl	aditūs	ūs	ūs	ēbus	us	us	us	us	us	ī	ī	ī
aditus:Gen.Sg	aditūs	ūs	ūs	us	us	us	us	us	ī	ī	ī	ī
aditus:Gen.Pl	adituum	uum	um	ū	ī	ī	ī	ī	ī	ī	ī	ī
aditus:Abl.Sg	aditū	ū	ū	ū	ū	ū	ī	ī	ī	ī	ī	ī
aditus:Nom.Pl	aditūs	ūs	ūs	ēbus	us	us	us	us	us	ī	ī	ī
aditus:Acc.Sg	aditum	um	um	um	um	um	um	um	um	um	um	um
aditus:Dat.Pl	aditibus	ibus	ibus	ibus	uī	ī	ibus	ibus	ibus	ibus	ibus	ibus
adulter:Nom.Sg	adulter	NULL	NULL	NULL	ū	ū	NULL	NULL	NULL	NULL	NULL	NULL
adulter:Abl.Pl	adulterīs	īs	īs	īs	ēī	a	a	a	a	a	a	a
adulter:Dat.Sg	adulterō	ō	ō	ō	ōrum	ōrum	ēs	ēs	ēs	ī	ū	um
adulter:Acc.Pl	adulterōs	ōs	ūs	ūs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
adulter:Gen.Sg	adulterī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
adulter:Gen.Pl	adulterōrum	ōrum	am	um	ū	um	um	um	um	um	um	ū
