Word	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
acies:Nom.Sg	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Abl.Pl	aciēbus	ēbus	ēs	uum	ā	ibus	is	ibus	ibus	ibus	ibus	ibus	ā	ibus	ibus	uum
acies:Dat.Sg	aciēī	ēī	ēs	ōrum	ōrum	ēs	uum	em	em	uum	um	um	um	uum	uum	ū
acies:Acc.Pl	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Gen.Sg	aciēī	ēī	ēs	ōrum	ēs	ēs	uum	em	em	um	um	um	um	um	um	um
acies:Gen.Pl	aciērum	ērum	ēs	ōrum	ēs	ōrum	ōrum	īs	īs	ōrum	ōrum	uī	ārum	ōrum	ōrum	ōrum
acies:Abl.Sg	aciē	ē	ō	e	e	e	ō	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Acc.Sg	aciem	em	em	um	um	um	um	um	um	um	um	um	uum	uum	uum	uum
acies:Dat.Pl	aciēbus	ēbus	ēs	ōrum	is	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ā	uum	ibus	uum
aditus:Nom.Sg	aditus	us	us	us	us	us	us	us	us	us	us	us	us	us	us	us
aditus:Abl.Pl	aditibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aditus:Dat.Sg	adituī	uī	uī	ī	um	um	um	um	um	NULL	um	um	um	um	um	um
aditus:Acc.Pl	aditūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
aditus:Gen.Sg	aditūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
aditus:Gen.Pl	adituum	uum	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aditus:Abl.Sg	aditū	ū	ū	ū	ū	ū	ū	ū	ū	ū	ū	ī	ī	ī	ī	ī
aditus:Nom.Pl	aditūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
aditus:Acc.Sg	aditum	um	um	um	um	um	um	um	um	um	um	uum	um	um	um	um
aditus:Dat.Pl	aditibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
adulter:Nom.Sg	adulter	NULL	ū	NULL	ū	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
adulter:Abl.Pl	adulterīs	īs	īs	a	īs	a	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
adulter:Dat.Sg	adulterō	ō	ō	e	e	e	e	e	ē	e	ē	e	e	e	e	e
adulter:Acc.Pl	adulterōs	ōs	ūs	us	ūs	ūs	e	us	us	ēbus	us	us	us	us	us	us
adulter:Gen.Sg	adulterī	ī	ī	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
adulter:Gen.Pl	adulterōrum	ōrum	ō	ōrum	ōrum	ōrum	ōrum	īs	īs	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
adulter:Abl.Sg	adulterō	ō	ō	e	e	e	e	e	e	e	e	e	e	e	e	e
adulter:Nom.Pl	adulterī	ī	ī	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
adulter:Acc.Sg	adulterum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
adulter:Dat.Pl	adulterīs	īs	īs	a	a	a	a	is	ēī	īs	īs	īs	īs	īs	īs	īs
adventus:Nom.Sg	adventus	us	us	us	us	us	us	us	us	us	us	us	us	us	us	us
adventus:Abl.Pl	adventibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
adventus:Dat.Sg	adventuī	uī	um	ī	um	um	um	um	uum	ū	ū	um	um	um	um	um
adventus:Acc.Pl	adventūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
adventus:Gen.Sg	adventūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
adventus:Gen.Pl	adventuum	uum	um	ū	um	um	um	um	um	um	um	um	um	um	um	um
adventus:Abl.Sg	adventū	ū	ū	NULL	ū	ū	ū	ū	ī	ū	ū	ī	ī	ī	ī	ī
adventus:Nom.Pl	adventūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
adventus:Acc.Sg	adventum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
adventus:Dat.Pl	adventibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aedes:Nom.Sg	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	em	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Abl.Pl	aedibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aedes:Dat.Sg	aedī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aedes:Acc.Pl	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Gen.Sg	aedis	is	is	is	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
aedes:Gen.Pl	aedium	ium	ōrum	ōrum	um	um	um	um	um	um	um	um	um	uī	um	um
aedes:Abl.Sg	aede	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aedes:Nom.Pl	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Acc.Sg	aedem	em	em	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum
aedes:Dat.Pl	aedibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aer:Nom.Sg	āēr	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
aer:Abl.Pl	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aer:Dat.Sg	āerī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aer:Acc.Pl	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Gen.Sg	āeris	is	is	is	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
aer:Gen.Pl	āerum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aer:Abl.Sg	āere	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Acc.Sg	āera	a	a	a	a	a	e	e	ae	ium	a	a	a	a	a	a
aer:Dat.Pl	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aes:Nom.Sg	aes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
