Word	Declined	0	1
acies:Nom.Sg	aciēs	ēs	ēs
acies:Abl.Pl	aciēbus	ēbus	ēs
acies:Dat.Sg	aciēī	ēī	ēs
acies:Acc.Pl	aciēs	ēs	ēs
acies:Gen.Sg	aciēī	ēī	ēs
acies:Gen.Pl	aciērum	ērum	ēs
acies:Abl.Sg	aciē	ē	em
acies:Nom.Pl	aciēs	ēs	ēs
acies:Acc.Sg	aciem	em	ēs
acies:Dat.Pl	aciēbus	ēbus	ēs
aditus:Nom.Sg	aditus	us	us
aditus:Abl.Pl	aditibus	ibus	ibus
aditus:Dat.Sg	adituī	uī	um
aditus:Acc.Pl	aditūs	ūs	us
aditus:Gen.Sg	aditūs	ūs	ūs
aditus:Gen.Pl	adituum	uum	ēs
aditus:Abl.Sg	aditū	ū	ū
aditus:Nom.Pl	aditūs	ūs	us
aditus:Acc.Sg	aditum	um	um
aditus:Dat.Pl	aditibus	ibus	ibus
adulter:Nom.Sg	adulter	NULL	NULL
adulter:Abl.Pl	adulterīs	īs	īs
adulter:Dat.Sg	adulterō	ō	ās
adulter:Acc.Pl	adulterōs	ōs	ōs
adulter:Gen.Sg	adulterī	ī	ī
adulter:Gen.Pl	adulterōrum	ōrum	ēs
adulter:Abl.Sg	adulterō	ō	ō
adulter:Nom.Pl	adulterī	ī	ī
adulter:Acc.Sg	adulterum	um	um
adulter:Dat.Pl	adulterīs	īs	ārum
adventus:Nom.Sg	adventus	us	us
adventus:Abl.Pl	adventibus	ibus	ibus
adventus:Dat.Sg	adventuī	uī	um
adventus:Acc.Pl	adventūs	ūs	us
adventus:Gen.Sg	adventūs	ūs	us
adventus:Gen.Pl	adventuum	uum	ēs
adventus:Abl.Sg	adventū	ū	ī
adventus:Nom.Pl	adventūs	ūs	us
adventus:Acc.Sg	adventum	um	um
adventus:Dat.Pl	adventibus	ibus	ibus
aedes:Nom.Sg	aedēs	ēs	ēs
aedes:Abl.Pl	aedibus	ibus	ibus
aedes:Dat.Sg	aedī	ī	ī
aedes:Acc.Pl	aedēs	ēs	ēs
aedes:Gen.Sg	aedis	is	is
aedes:Gen.Pl	aedium	ium	ium
aedes:Abl.Sg	aede	e	e
aedes:Nom.Pl	aedēs	ēs	ēs
aedes:Acc.Sg	aedem	em	em
aedes:Dat.Pl	aedibus	ibus	ibus
aer:Nom.Sg	āēr	NULL	NULL
aer:Abl.Pl	āeribus	ibus	ibus
aer:Dat.Sg	āerī	ī	ī
aer:Acc.Pl	āerēs	ēs	ēs
aer:Gen.Sg	āeris	is	is
aer:Gen.Pl	āerum	um	um
aer:Abl.Sg	āere	e	e
aer:Nom.Pl	āerēs	ēs	ēs
aer:Acc.Sg	āera	a	a
aer:Dat.Pl	āeribus	ibus	ibus
aes:Nom.Sg	aes	NULL	NULL
aes:Abl.Pl	aeribus	ibus	ibus
aes:Dat.Sg	aerī	ī	ī
aes:Acc.Pl	aera	a	a
aes:Gen.Sg	aeris	is	is
aes:Gen.Pl	aerum	um	ēs
aes:Abl.Sg	aere	e	e
aes:Nom.Pl	aera	a	a
aes:Acc.Sg	aes	NULL	NULL
aes:Dat.Pl	aeribus	ibus	ibus
aestas:Nom.Sg	aestās	NULL	NULL
aestas:Abl.Pl	aestātibus	ibus	ibus
aestas:Dat.Sg	aestātī	ī	ī
aestas:Acc.Pl	aestātēs	ēs	ēs
aestas:Gen.Sg	aestātis	is	is
aestas:Gen.Pl	aestātum	um	um
aestas:Abl.Sg	aestāte	e	e
aestas:Nom.Pl	aestātēs	ēs	ēs
aestas:Acc.Sg	aestātem	em	em
aestas:Dat.Pl	aestātibus	ibus	ibus
aestus:Nom.Sg	aestus	us	us
aestus:Abl.Pl	aestibus	ibus	ibus
aestus:Dat.Sg	aestuī	uī	um
aestus:Acc.Pl	aestūs	ūs	us
aestus:Gen.Sg	aestūs	ūs	ūs
aestus:Gen.Pl	aestuum	uum	ēs
aestus:Abl.Sg	aestū	ū	ū
