Word	Declined	0	1
acies:Nom.Sg	aciēs	ēs	ō
acies:Abl.Pl	aciēbus	ēbus	um
acies:Dat.Sg	aciēī	ēī	um
acies:Acc.Pl	aciēs	ēs	ēs
acies:Gen.Sg	aciēī	ēī	um
acies:Gen.Pl	aciērum	ērum	ō
acies:Abl.Sg	aciē	ē	ō
acies:Nom.Pl	aciēs	ēs	ō
acies:Acc.Sg	aciem	em	em
acies:Dat.Pl	aciēbus	ēbus	ēbus
cena:Nom.Sg	cēna	a	ō
cena:Abl.Pl	cēnīs	īs	ō
cena:Dat.Sg	cēnae	ae	ō
cena:Acc.Pl	cēnās	ās	ās
cena:Gen.Sg	cēnae	ae	ō
cena:Gen.Pl	cēnārum	ārum	ō
cena:Abl.Sg	cēnā	ā	ō
cena:Nom.Pl	cēnae	ae	ō
cena:Acc.Sg	cēnam	am	ō
cena:Dat.Pl	cēnīs	īs	ō
nix:Nom.Sg	nix	NULL	um
nix:Abl.Pl	nivibus	ibus	em
nix:Dat.Sg	nivī	ī	ō
nix:Acc.Pl	nivēs	ēs	ō
nix:Gen.Sg	nivis	is	ō
nix:Gen.Pl	nivium	ium	ō
nix:Abl.Sg	nive	e	ō
nix:Nom.Pl	nivēs	ēs	ō
nix:Acc.Sg	nivem	em	em
nix:Dat.Pl	nivibus	ibus	ō
somnus:Nom.Sg	somnus	us	um
somnus:Abl.Pl	somnīs	īs	ō
somnus:Dat.Sg	somnō	ō	ō
somnus:Acc.Pl	somnōs	ōs	ō
somnus:Gen.Sg	somnī	ī	ō
somnus:Gen.Pl	somnōrum	ōrum	ō
somnus:Abl.Sg	somnō	ō	ō
somnus:Nom.Pl	somnī	ī	ō
somnus:Acc.Sg	somnum	um	um
somnus:Dat.Pl	somnīs	īs	ō
