Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
acies:Nom.Sg	5	f	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	īs	īs	īs	īs	īs	īs	īs	īs	īs
acies:Abl.Pl	5	f	328	aciēbus	ēbus	ō	ō	ō	ō	ō	e	e	e	e	e	e	e	e	e	e
acies:Dat.Sg	5	f	328	aciēī	ēī	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
acies:Acc.Pl	5	f	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
acies:Gen.Sg	5	f	328	aciēī	ēī	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
acies:Gen.Pl	5	f	328	aciērum	ērum	ōrum	ō	ō	ō	ō	e	e	e	e	e	e	e	e	e	e
acies:Abl.Sg	5	f	328	aciē	ē	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	īs	īs	īs	īs	īs	īs	īs	īs	īs
acies:Acc.Sg	5	f	328	aciem	em	ēs	ēs	ēs	ēs	ēs	ēs	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
acies:Dat.Pl	5	f	328	aciēbus	ēbus	is	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aditus:Nom.Sg	4	m	107	aditus	us	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aditus:Abl.Pl	4	m	107	aditibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
aditus:Dat.Sg	4	m	107	adituī	uī															
aditus:Acc.Pl	4	m	107	aditūs	ūs	uī	uī	uī	uī	um	um	um	um	um	um	um	um	um	um	um
aditus:Gen.Sg	4	m	107	aditūs	ūs	ēbus	ēs	ēs	ēs	ēs	ēs	ēs	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
aditus:Gen.Pl	4	m	107	adituum	uum	ū	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	uī
