Word	Declension	Gender	TotFreq	Declined	0	1
acies:Nom.Sg	5	f	328	aciēs	ēs	ēs
acies:Abl.Pl	5	f	328	aciēbus	ēbus	ēs
acies:Dat.Sg	5	f	328	aciēī	ēī	ārum
acies:Acc.Pl	5	f	328	aciēs	ēs	ēs
acies:Gen.Sg	5	f	328	aciēī	ēī	ēī
acies:Gen.Pl	5	f	328	aciērum	ērum	em
acies:Abl.Sg	5	f	328	aciē	ē	em
acies:Nom.Pl	5	f	328	aciēs	ēs	em
acies:Acc.Sg	5	f	328	aciem	em	em
acies:Dat.Pl	5	f	328	aciēbus	ēbus	ēbus
cena:Nom.Sg	1	f	65	cēna	a	ium
cena:Abl.Pl	1	f	65	cēnīs	īs	īs
cena:Dat.Sg	1	f	65	cēnae	ae	ās
cena:Acc.Pl	1	f	65	cēnās	ās	ās
cena:Gen.Sg	1	f	65	cēnae	ae	ium
cena:Gen.Pl	1	f	65	cēnārum	ārum	īs
cena:Abl.Sg	1	f	65	cēnā	ā	ārum
cena:Nom.Pl	1	f	65	cēnae	ae	ium
cena:Acc.Sg	1	f	65	cēnam	am	ās
cena:Dat.Pl	1	f	65	cēnīs	īs	ārum
nix:Nom.Sg	3	f	83	nix		
nix:Abl.Pl	3	f	83	nivibus	ibus	ērum
nix:Dat.Sg	3	f	83	nivī	ī	am
nix:Acc.Pl	3	f	83	nivēs	ēs	ēs
nix:Gen.Sg	3	f	83	nivis	is	īs
nix:Gen.Pl	3	f	83	nivium	ium	īs
nix:Abl.Sg	3	f	83	nive	e	e
nix:Nom.Pl	3	f	83	nivēs	ēs	ēī
nix:Acc.Sg	3	f	83	nivem	em	em
nix:Dat.Pl	3	f	83	nivibus	ibus	ibus
somnus:Nom.Sg	2	m	200	somnus	us	us
somnus:Abl.Pl	2	m	200	somnīs	īs	īs
somnus:Dat.Sg	2	m	200	somnō	ō	us
somnus:Acc.Pl	2	m	200	somnōs	ōs	ae
somnus:Gen.Sg	2	m	200	somnī	ī	ērum
somnus:Gen.Pl	2	m	200	somnōrum	ōrum	ērum
somnus:Abl.Sg	2	m	200	somnō	ō	ērum
somnus:Nom.Pl	2	m	200	somnī	ī	us
somnus:Acc.Sg	2	m	200	somnum	um	ēs
somnus:Dat.Pl	2	m	200	somnīs	īs	īs
