Declined Noun	0	1
lakrima	lakrimaarum	lakrimaarum
lakrimiis	lakrimaarum	lakrimaarum
lakrimae	lakrimaarum	lakrimaarum
lakrimaas	lakrimaarum	lakrimaarum
lakrimae	lakrimaarum	lakrimaarum
lakrimaarum	lakrimaarum	lakrimaarum
lakrimaa	lakrimaarum	lakrimaarum
lakrimae	lakrimaarum	lakrimaarum
lakrimam	lakrimaarum	lakrimaarum
lakrimiis	lakrimaarum	lakrimaarum
lakrima	lakrimaarm	lakrimaarum
lakrimiis	lakrimaarm	lakrimaarum
lakrimae	lakrimaarm	lakrimaarum
lakrimaas	lakrimaarm	lakrimaarum
lakrimae	lakrimaarm	lakrimaarum
lakrimaarum	lakrimaarm	lakrimaarum
lakrimaa	lakrimaarm	lakrimaarum
lakrimae	lakrimaarm	lakrimaarum
lakrimam	lakrimaarm	lakrimaarum
lakrimiis	lakrimaarm	lakrimaarum
lakrima	lakrimaau	lakrimaarum
lakrimiis	lakrimaaum	lakrimaarum
lakrimae	lakrimaaru	lakrimaarum
lakrimaas	lakrimaaum	lakrimaarum
lakrimae	lakrimaarum	lakrimaarum
lakrimaarum	lakrimaarum	lakrimaarum
lakrimaa	lakrimaarum	lakrimaarum
lakrimae	lakrimaaum	lakrimaarum
lakrimam	lakrimaarum	lakrimaarum
lakrimiis	lakrimaarum	lakrimaarum
lakrima	lakrimaarum	lakrimaarum
lakrimiis	lakrimaaum	lakrimaarum
lakrimae	lakrimaarm	lakrimaaum
lakrimaas	lakrimaarm	lakrimaarum
lakrimae	lakrimaarum	lakrimaarum
lakrimaarum	lakrimaarum	lakrimaarum
lakrimaa	lakrimaarum	lakrimaarum
lakrimae	lakrimaarum	lakrimaarum
lakrimam	lakrimaarm	lakrimaarum
lakrimiis	lakrimaarum	lakrimaarum
lakrima	lakrimaaru	lakrimaarum
lakrimiis	lakrimaaum	lakrimaarum
lakrimae	lakrimaaru	lakrimaaum
lakrimaas	lakrimaaum	lakrimaarum
lakrimae	lakrimaaru	lakrimaarum
lakrimaarum	lakrimaaru	lakrimaarum
lakrimaa	lakrimaau	lakrimaarum
lakrimae	lakrimaaru	lakrimaarum
lakrimam	lakrimaarum	lakrimaarum
lakrimiis	lakrimaarum	lakrimaarum
lakrima	lakrimaaru	lakrimaarum
lakrimiis	lakrimaaum	lakrimaarum
lakrimae	lakrimaaum	lakrimaarum
lakrimaas	lakrimaarum	lakrimaarum
lakrimae	lakrimaarum	lakrimaarum
lakrimaarum	lakrimaaum	lakrimaarum
lakrimaa	lakrimaaum	lakrimaarum
lakrimae	lakrimaaum	lakrimaarum
lakrimam	lakrimaarum	lakrimaarum
lakrimiis	lakrimaaum	lakrimaarum
lakrima	lakrimaaru	lakrimaarum
lakrimiis	lakrimaaum	lakrimaarum
lakrimae	lakrimaaru	lakrimaarum
lakrimaas	lakrimaarum	lakrimaarum
lakrimae	lakrimaaru	lakrimaarum
lakrimaarum	lakrimaaru	lakrimaarum
lakrimaa	lakrimaarum	lakrimaarum
lakrimae	lakrimaau	lakrimaarum
lakrimam	lakrimaarum	lakrimaarum
lakrimiis	lakrimaarum	lakrimaarum
lakrima	lakrimaau	lakrimaarum
lakrimiis	lakrimaarm	lakrimaarum
lakrimae	lakrimaarum	lakrimaarum
lakrimaas	lakrimaarum	lakrimaarum
lakrimae	lakrimaaru	lakrimaarum
lakrimaarum	lakrimaarum	lakrimaarum
lakrimaa	lakrimaarum	lakrimaarum
lakrimae	lakrimaaru	lakrimaarum
lakrimam	lakrimaarum	lakrimaarum
lakrimiis	lakrimaarm	lakrimaarum
lakrima	lakrimaaum	lakrimaarum
lakrimiis	lakrimaaum	lakrimaarum
lakrimae	lakrimaaum	lakrimaarum
lakrimaas	lakrimaarum	lakrimaarum
lakrimae	lakrimaaum	lakrimaarum
lakrimaarum	lakrimaarum	lakrimaarum
lakrimaa	lakrimaaum	lakrimaarum
lakrimae	lakrimaaum	lakrimaarum
lakrimam	lakrimaaum	lakrimaarum
lakrimiis	lakrimaaum	lakrimaarum
