Declined Noun	0	1
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrima	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaas	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimaarum	lakrimaa	lakrimaa
lakrimaa	lakrimaa	lakrimaa
lakrimae	lakrimaa	lakrimaa
lakrimam	lakrimaa	lakrimaa
lakrimiis	lakrimaa	lakrimaa
