Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	ies	e	e	e	e	i	i	e	e	e
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	iebus	ibus	is	is	is	is	is	is	is	is
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	ae	ē	ē	ē	ei	ie	ē	eo	eo	eo
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	ie	ei	ē	ē	ē	ī	ē	eo	eo	eo
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	ērum	oerum	ōrum	ōrum	eotru	ies	ies	ies	ies	ies
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	ē	ae	ē	ē	ē	ē	ē	eo	eo	eo
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	ēm	em	em	em	em	em	em	em	em	em
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	ibus	īs	īs	īs	īs	ies	ies	ies	ies	ies
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	us	u	u	u	u	u	u	u	u	u
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	ibus	is	is	is	is	is	is	is	is	is
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	ū	ū	ū	ū	ui	ui	uo	u	u	u
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	īs	īs	ies	ies	ēs	ies	ēs	ēs	ies	ies
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	uis	uis	ui	ui	ui	ui	uo	u	u	u
aditus:Gen.Pl	4	m	Gen.Pl	107	adituum	uum	us	īs	īs	īs	īs	ies	ies	ies	ies	ies
aditus:Abl.Sg	4	m	Abl.Sg	107	aditū	ū	ū	o	u	u	u	u	u	u	u	u
aditus:Nom.Pl	4	m	Nom.Pl	107	aditūs	ūs	uis	īs	ies	ies	ēs	ies	ēs	ēs	ies	ies
aditus:Acc.Sg	4	m	Acc.Sg	107	aditum	um	um	um	um	um	um	um	um	um	um	um
aditus:Dat.Pl	4	m	Dat.Pl	107	aditibus	ibus	ibus	īs	īs	īs	īs	ies	ies	ies	ies	ies
adulter:Nom.Sg	2	m	Nom.Sg	55	adulter		us	u	u	u	u	u	u	u	u	u
adulter:Abl.Pl	2	m	Abl.Pl	55	adulterīs	īs	uis	is	is	is	is	is	is	is	is	is
adulter:Dat.Sg	2	m	Dat.Sg	55	adulterō	ō	ō	ō	ō	ō	ue	uo	uo	uo	uo	uo
adulter:Acc.Pl	2	m	Acc.Pl	55	adulterōs	ōs	īs	īs	ies	ies	ies	ies	ēs	ēs	ēs	ēs
adulter:Gen.Sg	2	m	Gen.Sg	55	adulterī	ī	ī	ue	uo	uo	uo	ue	uo	uo	uo	uo
adulter:Gen.Pl	2	m	Gen.Pl	55	adulterōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōru	ies	ies	ies	ies	ies
adulter:Abl.Sg	2	m	Abl.Sg	55	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	uo	uo
adulter:Nom.Pl	2	m	Nom.Pl	55	adulterī	ī	īs	īs	ies	ies	ēs	ēs	ēs	ēs	ies	ies
adulter:Acc.Sg	2	m	Acc.Sg	55	adulterum	um	um	um	um	um	um	um	um	um	um	um
adulter:Dat.Pl	2	m	Dat.Pl	55	adulterīs	īs	uis	uis	is	īs	ies	ies	ies	ies	ies	ies
adventus:Nom.Sg	4	m	Nom.Sg	112	adventus	us	us	u	u	u	u	u	u	u	u	u
adventus:Abl.Pl	4	m	Abl.Pl	112	adventibus	ibus	ibus	is	is	is	is	is	is	is	is	is
adventus:Dat.Sg	4	m	Dat.Sg	112	adventuī	uī	ū	ū	ū	ū	ui	ui	uo	u	u	u
adventus:Acc.Pl	4	m	Acc.Pl	112	adventūs	ūs	īs	īs	ies	ies	ēs	ies	ēs	ēs	ies	ies
adventus:Gen.Sg	4	m	Gen.Sg	112	adventūs	ūs	ūs	uis	ui	ui	ui	ui	uo	u	u	u
adventus:Gen.Pl	4	m	Gen.Pl	112	adventuum	uum	us	īs	īs	īs	īs	ies	ies	ies	ies	ies
adventus:Abl.Sg	4	m	Abl.Sg	112	adventū	ū	ū	u	u	u	u	u	u	u	u	u
adventus:Nom.Pl	4	m	Nom.Pl	112	adventūs	ūs	uis	īs	ies	ies	ēs	ies	ēs	ēs	ies	ies
adventus:Acc.Sg	4	m	Acc.Sg	112	adventum	um	um	um	um	um	um	um	um	um	um	um
adventus:Dat.Pl	4	m	Dat.Pl	112	adventibus	ibus	ibus	īs	īs	īs	īs	ies	ies	ies	ies	ies
aedes:Nom.Sg	3	f	Nom.Sg	68	aedēs	ēs										
aedes:Abl.Pl	3	f	Abl.Pl	68	aedibus	ibus	ibus	ibus	is	is	is	is	is	is	is	is
aedes:Dat.Sg	3	f	Dat.Sg	68	aedī	ī	ī	ei	ei	ī	ī	ī	e	e	e	e
aedes:Acc.Pl	3	f	Acc.Pl	68	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Gen.Sg	3	f	Gen.Sg	68	aedis	is	īs	ī	ī	ī	ī	ī	e	e	e	e
