Word	Declension	Gender	CaseNum	Case	Num	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
1	acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	aciēs	ēs	ē	e	e	e	e	e	e	e	e	e
2	acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	aciēbus	ēbus	ies	es	es	es	es	es	es	es	es	es
3	acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	aciēī	ēī	ē	em	em	em	em	em	em	em	em	em
4	acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	aciēs	ēs	ēs	es	e	e	e	e	e	e	e	e
5	acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	aciēī	ēī	ies	e	e	e	e	e	e	e	e	e
6	acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	aciērum	ērum	erum	e	e	e	es	es	es	es	es	es
7	acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	aciē	ē	ē	e	e	e	e	e	e	e	e	e
8	acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	aciēs	ēs	ēs	s	es	es	es	es	es	es	es	es
9	acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	aciem	em	ēm	em	em	em	em	em	em	em	em	em
10	acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	aciēbus	ēbus	ie	e	e	e	e	e	e	e	e	e
11	aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	aditus	us	u	u	u	u	u	u	u	u	u	u
12	aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	aditibus	ibus	is	us	is	s	s	s	s	s	s	s
13	aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	adituī	uī	u	u	um	um	um	um	um	um	um	um
14	aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	aditūs	ūs	us	us	u	u	u	u	u	u	u	u
15	aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	aditūs	ūs	us	u	u	u	u	u	u	u	u	u
16	aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	adituum	uum	urum	i	i		s	s	s	s	s	s
17	aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	aditū	ū	ū	u	u	u	u	u	u	u	u	u
18	aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	aditūs	ūs	ūs	us	us	u	u	us	us	us	u	us
19	aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	aditum	um	um	um	um	um	u	um	um	um	um	um
20	aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	aditibus	ibus	is	i	i	e						
21	adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55	adulter		u	u	u	u	u	u	u	u		u
22	adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	adulterīs	īs	is	is	es	es	es	es	es	es	es	es
23	adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	adulterō	ō	e			e	em	em	em	em		e
24	adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	adulterōs	ōs	s	s	s		e	e	e	e	es	es
25	adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	adulterī	ī	i	is	i	e	e	e	e	e	es	es
26	adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	adulterōrum	ōrum	omrum	i	es	es	es	es	es	es	es	es
27	adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	adulterō	ō	ō	ō	ō	ō	ō		e	e	es	es
28	adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	adulterī	ī	s	s	s	s	es	es	es	es	es	es
29	adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	adulterum	um	um	um	um	um	um	um	um	um	u	um
30	adulter:Dat.Pl	2	mh	Dat.Pl	Dat	Pl	55	adulterīs	īs	i	e	e	e	e	e	e	e	es	es
31	adventus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	112	adventus	us	u	u	u	u	u	u	u	u	u	u
32	adventus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	112	adventibus	ibus	is	us	s	s		s	s	s	s	s
33	adventus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	112	adventuī	uī	u	u	um	um	um	um	um	um	um	um
34	adventus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	112	adventūs	ūs	ūs	us	u	u	u	u	u	u	u	u
35	adventus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	112	adventūs	ūs	us	u	u	u	u	u	u	u	u	u
36	adventus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	112	adventuum	uum	urum	i	i			s	s	s	s	s
37	adventus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	112	adventū	ū	ū	u	u	u	u	u	u	u	u	u
38	adventus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	112	adventūs	ūs	ūs	us	us	u	u	us	us	us	u	us
39	adventus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	112	adventum	um	um	um	um	um	u	um	um	um	um	um
40	adventus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	112	adventibus	ibus	is	i	i							
41	aedes:Nom.Sg	3	f	Nom.Sg	Nom	Sg	68	aedēs	ēs	e	e	e	e	e	e	e	e	e	e
42	aedes:Abl.Pl	3	f	Abl.Pl	Abl	Pl	68	aedibus	ibus	is	es	es	es	es	es	es	es	es	es
43	aedes:Dat.Sg	3	f	Dat.Sg	Dat	Sg	68	aedī	ī	e	e	e	em	em	em	em	em	em	em
44	aedes:Acc.Pl	3	f	Acc.Pl	Acc	Pl	68	aedēs	ēs	es	es	e	e	e	e	e	e	e	e
45	aedes:Gen.Sg	3	f	Gen.Sg	Gen	Sg	68	aedis	is	i	i	e	e	e	e	e	e	e	e
46	aedes:Gen.Pl	3	f	Gen.Pl	Gen	Pl	68	aedium	ium	u	e	e	e	es	es	es	es	es	es
