Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	ē	r	r	r	rr	rr	rr	rr	rr	ar
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	isr	er	rr	rr	rr	rr	rr	rr	ar	ar
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	ē	er	er	rr	rr	rr	rr	rr	ar	ar
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	ers	er	er	rr	rr	rr	rr	rr	ar	ar
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	ie	ir	rr	rr	rr	rr	rr	rr	rr	ar
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	res	rr	rr	rr	rr	rr	rr	rr	rr	rr
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	ē	er	e	r	rr	rr	rr	rr	ar	ar
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	res	rrs	rr	rr	rr	rr	rr	rr	ar	ar
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	em	em	em	r	r	r	rr	rr	ar	ar
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	ē	rr	rr	rr	rr	rr	rr	rr	ar	ar
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	u	u	um	um	um	um	um	um	um	um
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	ur	or	rr	rr	rr	rr	rr	rr	rr	rr
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	ur	ur	rr	rr	rr	rr	rr	rr	rr	rr
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	rr	rr	r	rr	rr	rr	rr	rr	rr	rr
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	ur	ur	rr	rr	rr	rr	rr	rr	rr	rr
aditus:Gen.Pl	4	m	Gen.Pl	107	adituum	uum	ur	rr	rr	rr	rr	rr	rr	rr	rr	rr
aditus:Abl.Sg	4	m	Abl.Sg	107	aditū	ū	ō	ō	ō	ō	ō	ō	ō	ō	rr	rr
aditus:Nom.Pl	4	m	Nom.Pl	107	aditūs	ūs	urs	rr	r	rr	rr	rr	rr	rr	rr	rr
