Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	ē	e	e	e	e	e	e	e	e	e
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	ies	es	es	es	es	es	es	es	es	es
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	ē	em	em	em	em	em	em	em	em	em
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	ēs	es	e	e	e	e	e	e	e	e
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	ies	e	e	e	e	e	e	e	e	e
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	erum	e	e	e	es	es	es	es	es	es
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	ē	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	ēs	s	es	es	es	es	es	es	es	es
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	ēm	em	em	em	em	em	em	em	em	em
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	ie	e	e	e	e	e	e	e	e	e
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	u	u	u	u	u	u	u	u	u	u
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	is	us	is	s	s	s	s	s	s	s
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	u	u	um	um	um	um	um	um	um	um
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	us	us	u	u	u	u	u	u	u	u
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	us	u	u	u	u	u	u	u	u	u
aditus:Gen.Pl	4	m	Gen.Pl	107	adituum	uum	urum	i	i		s	s	s	s	s	s
aditus:Abl.Sg	4	m	Abl.Sg	107	aditū	ū	ū	u	u	u	u	u	u	u	u	u
aditus:Nom.Pl	4	m	Nom.Pl	107	aditūs	ūs	ūs	us	us	u	u	us	us	us	u	us
aditus:Acc.Sg	4	m	Acc.Sg	107	aditum	um	um	um	um	um	u	um	um	um	um	um
aditus:Dat.Pl	4	m	Dat.Pl	107	aditibus	ibus	is	i	i	e						
adulter:Nom.Sg	2	mh	Nom.Sg	55	adulter		u	u	u	u	u	u	u	u		u
adulter:Abl.Pl	2	mh	Abl.Pl	55	adulterīs	īs	is	is	es	es	es	es	es	es	es	es
adulter:Dat.Sg	2	mh	Dat.Sg	55	adulterō	ō	e			e	em	em	em	em		e
adulter:Acc.Pl	2	mh	Acc.Pl	55	adulterōs	ōs	s	s	s		e	e	e	e	es	es
adulter:Gen.Sg	2	mh	Gen.Sg	55	adulterī	ī	i	is	i	e	e	e	e	e	es	es
adulter:Gen.Pl	2	mh	Gen.Pl	55	adulterōrum	ōrum	omrum	i	es	es	es	es	es	es	es	es
adulter:Abl.Sg	2	mh	Abl.Sg	55	adulterō	ō	ō	ō	ō	ō	ō		e	e	es	es
adulter:Nom.Pl	2	mh	Nom.Pl	55	adulterī	ī	s	s	s	s	es	es	es	es	es	es
adulter:Acc.Sg	2	mh	Acc.Sg	55	adulterum	um	um	um	um	um	um	um	um	um	u	um
adulter:Dat.Pl	2	mh	Dat.Pl	55	adulterīs	īs	i	e	e	e	e	e	e	e	es	es
adventus:Nom.Sg	4	m	Nom.Sg	112	adventus	us	u	u	u	u	u	u	u	u	u	u
adventus:Abl.Pl	4	m	Abl.Pl	112	adventibus	ibus	is	us	s	s		s	s	s	s	s
adventus:Dat.Sg	4	m	Dat.Sg	112	adventuī	uī	u	u	um	um	um	um	um	um	um	um
adventus:Acc.Pl	4	m	Acc.Pl	112	adventūs	ūs	ūs	us	u	u	u	u	u	u	u	u
adventus:Gen.Sg	4	m	Gen.Sg	112	adventūs	ūs	us	u	u	u	u	u	u	u	u	u
adventus:Gen.Pl	4	m	Gen.Pl	112	adventuum	uum	urum	i	i			s	s	s	s	s
adventus:Abl.Sg	4	m	Abl.Sg	112	adventū	ū	ū	u	u	u	u	u	u	u	u	u
adventus:Nom.Pl	4	m	Nom.Pl	112	adventūs	ūs	ūs	us	us	u	u	us	us	us	u	us
adventus:Acc.Sg	4	m	Acc.Sg	112	adventum	um	um	um	um	um	u	um	um	um	um	um
adventus:Dat.Pl	4	m	Dat.Pl	112	adventibus	ibus	is	i	i							
aedes:Nom.Sg	3	f	Nom.Sg	68	aedēs	ēs	e	e	e	e	e	e	e	e	e	e
aedes:Abl.Pl	3	f	Abl.Pl	68	aedibus	ibus	is	es	es	es	es	es	es	es	es	es
aedes:Dat.Sg	3	f	Dat.Sg	68	aedī	ī	e	e	e	em	em	em	em	em	em	em
aedes:Acc.Pl	3	f	Acc.Pl	68	aedēs	ēs	es	es	e	e	e	e	e	e	e	e
aedes:Gen.Sg	3	f	Gen.Sg	68	aedis	is	i	i	e	e	e	e	e	e	e	e
aedes:Gen.Pl	3	f	Gen.Pl	68	aedium	ium	u	e	e	e	es	es	es	es	es	es
aedes:Abl.Sg	3	f	Abl.Sg	68	aede	e	e	e	e	e	e	e	e	e	e	e
aedes:Nom.Pl	3	f	Nom.Pl	68	aedēs	ēs	is	es	es	es	es	es	es	es	es	es
aedes:Acc.Sg	3	f	Acc.Sg	68	aedem	em	em	em	em	em	em	em	em	em	em	em
aedes:Dat.Pl	3	f	Dat.Pl	68	aedibus	ibus	is	e	e	e	e	e	e	e	e	e
aer:Nom.Sg	3	m	Nom.Sg	78	āēr					e						
