Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	ē	e	e	e						
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	īsbus	is	īs	īs	īs	īs	īs	īs	īs	ī
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	ēs	e	e	e	eis	īs	īs	īs	īs	īs
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	ēs	ēs	ēs	eis	eis	eis	eis	eis	eis	eis
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	ēs	īs	īs	īs	īs	īs	īs	īs	īs	īs
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	ōrum	eu	u	iu	iu	iu	iu	iu	iu	iu
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	e	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	ēs	ēs	ēs	eis	īs	eis	eis	īs	īs	īs
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	ēm	em	em	em	em	em	em	em	em	em
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	īsbus	ēs	īs	īs	īs	īs	iu	iu	iu	iu
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	u	u	u	u	u	u	u	u	u	u
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	ibus	uu	uu	uu	umu	umu	uu	u	u	
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	u	u			u		u	u	u	u
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	us	us	us	us	us		u	o	o	
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	us	us	us	us	us	us	us	us	u	u
aditus:Gen.Pl	4	m	Gen.Pl	107	adituum	uum	uu	mu	mu	imu	imu	imu	iu	iu	iu	iu
aditus:Abl.Sg	4	m	Abl.Sg	107	aditū	ū	ū	ō	ō	ō	ō	ō	ō	ō	ō	ō
