Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	ēs	aciēs	ēs	ēs	ē	ē	e	e	e	e	e	e	e
acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	ēbus	aciēbus	ēbus	ie	is	ies	is	is	es	es	es	es	es
acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	ēī	aciēī	ēī	ē	ē	es	e	i	i	i	i	i	i
acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	ēs	aciēs	ēs	ēs	ēs	ēs	es	es	es	es	es	es	es
acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	ēī	aciēī	ēī	ē	ē	ies	is	is	is	is	is	is	is
acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	ērum	aciērum	ērum	ē	ē	es	is	is	is	is	is	is	is
acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	ē	aciē	ē	ē	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	ēs	aciēs	ēs	ēs	ēs	ēs	es	es	es	es	es	es	es
acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	em	aciem	em	ēm	ēm	em	em	em	em	em	em	em	em
acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	ēbus	aciēbus	ēbus	ē	ēs	ēs	is	is	is	is	is	is	is
aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	us	aditus	us	us	u	u	u	u	u	u	u	u	u
aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	ibus	aditibus	ibus	iu	ūs	us	us	us	us	us	s	s	s
aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	uī	adituī	uī	ū	u	us	u	u	u	u	u	u	u
aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	ūs	aditūs	ūs	us	us	us	us	us	us	us	us	us	s
aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	ūs	aditūs	ūs	ūs	ūs	us	us	us	us	us	us	us	s
