Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	328	aciēs	ēs	e	e	e	e	a	a	a	a	a	a
acies:Abl.Pl	5	f	328	aciēbus	ēbus	ī	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
acies:Dat.Sg	5	f	328	aciēī	ēī	ē	ē	ē	ē	ē	eo	ae	ae	ae	ae
acies:Acc.Pl	5	f	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	aes	aes
acies:Gen.Sg	5	f	328	aciēī	ēī	ē	ē	ē	ē	ē	ae	ae	ae	ae	ae
acies:Gen.Pl	5	f	328	aciērum	ērum	ērum	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
acies:Abl.Sg	5	f	328	aciē	ē	ē	ē	ē	ē	ē	ae	ae	ae	ae	ae
acies:Nom.Pl	5	f	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	aes	aes	aes	aes
acies:Acc.Sg	5	f	328	aciem	em	em	em	em	em	em	em	am	am	am	am
acies:Dat.Pl	5	f	328	aciēbus	ēbus	īs	ie	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
aditus:Nom.Sg	4	m	107	aditus	us	us	us	u	um	um	um	um	um	um	um
aditus:Abl.Pl	4	m	107	aditibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aditus:Dat.Sg	4	m	107	adituī	uī	ū	u	o	o	o	e	e	e	e	e
aditus:Acc.Pl	4	m	107	aditūs	ūs	oes	oes	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aditus:Gen.Sg	4	m	107	aditūs	ūs	ūs	ūs	o	o	o	e	e	e	e	e
aditus:Gen.Pl	4	m	107	adituum	uum	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
aditus:Abl.Sg	4	m	107	aditū	ū	ou	o	o	o	o	e	e	e	e	e
aditus:Nom.Pl	4	m	107	aditūs	ūs	ues	oes	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aditus:Acc.Sg	4	m	107	aditum	um	um	um	um	um	um	um	um	um	um	um
aditus:Dat.Pl	4	m	107	aditibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
adulter:Nom.Sg	2	m	55	adulter		u	u	u	u	u	um	um	um	um	um
adulter:Abl.Pl	2	m	55	adulterīs	īs	īs	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
adulter:Dat.Sg	2	m	55	adulterō	ō	ē	oe	ō	ō	ō	ō	ō	ō	ō	ō
adulter:Acc.Pl	2	m	55	adulterōs	ōs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
adulter:Gen.Sg	2	m	55	adulterī	ī	ui	ō	ō	ō	ō	ō	ō	ō	ō	ō
adulter:Gen.Pl	2	m	55	adulterōrum	ōrum	ōrum	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
adulter:Abl.Sg	2	m	55	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
adulter:Nom.Pl	2	m	55	adulterī	ī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
adulter:Acc.Sg	2	m	55	adulterum	um	um	um	um	um	um	um	um	um	um	um
