Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	ēs	e	e	e	e	e	e	e	e	e
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	ēs	e	e	e	e	e	e	e	e	e
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	e	e	e	em	e	e	e	e	e	e
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	ēs	ēs	ēs	e	e	e	e	e	e	e
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	i	e	e	e	e	e	e	e	e	e
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	i	e	e	e	e	e	e	e	e	e
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	e	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	ēs	ēs	ēs	e	e	e	e	e	e	e
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	e	e	e	em	em	em	em	e	e	e
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	e	e	e	e	e	e	e	e	e	e
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	us	u	u	u	u	u	u	u	u	u
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	ūs	u	u	u	u	u	u	u	u	u
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	u	u	u	u	u	u	u	u	u	u
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	us	us	u	u	u	u	u	u	u	u
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	ūs	u	u	u	u	u	u	u	u	u
aditus:Gen.Pl	4	m	Gen.Pl	107	adituum	uum	ūs	u	u	u	u	u	u	u	u	u
aditus:Abl.Sg	4	m	Abl.Sg	107	aditū	ū	ū	u	u	u	u	u	u	u	u	u
aditus:Nom.Pl	4	m	Nom.Pl	107	aditūs	ūs	us	us	u	u	u	u	u	u	u	u
aditus:Acc.Sg	4	m	Acc.Sg	107	aditum	um	u	um	um	um	um	um	u	u	u	u
aditus:Dat.Pl	4	m	Dat.Pl	107	aditibus	ibus	us	u	u	u	u	u	u	u	u	u
adulter:Nom.Sg	2	mh	Nom.Sg	55	adulter		u	u	u	u	u	u	u	u	u	u
adulter:Abl.Pl	2	mh	Abl.Pl	55	adulterīs	īs					u		u	u	u	u
adulter:Dat.Sg	2	mh	Dat.Sg	55	adulterō	ō	i		u	u	u	u	u	u	u	u
adulter:Acc.Pl	2	mh	Acc.Pl	55	adulterōs	ōs	os	s	s		u	u	u	u	u	u
adulter:Gen.Sg	2	mh	Gen.Sg	55	adulterī	ī	is		u	u	u	u	u	u	u	u
adulter:Gen.Pl	2	mh	Gen.Pl	55	adulterōrum	ōrum	i				u		u	u	u	u
adulter:Abl.Sg	2	mh	Abl.Sg	55	adulterō	ō	ō	u	u	u	u	u	u	u	u	u
adulter:Nom.Pl	2	mh	Nom.Pl	55	adulterī	ī	s	s	s		u	u	u	u	u	u
adulter:Acc.Sg	2	mh	Acc.Sg	55	adulterum	um	um	um	um	um	um	u	u	u	u	u
adulter:Dat.Pl	2	mh	Dat.Pl	55	adulterīs	īs	i					u	u	u	u	u
adventus:Nom.Sg	4	m	Nom.Sg	112	adventus	us	u	u	u	u	u	u	u	u	u	u
adventus:Abl.Pl	4	m	Abl.Pl	112	adventibus	ibus	ūs	u	u	u	u	u	u	u	u	u
adventus:Dat.Sg	4	m	Dat.Sg	112	adventuī	uī	u	u	u	u	u	u	u	u	u	u
adventus:Acc.Pl	4	m	Acc.Pl	112	adventūs	ūs	us	us	u	u	u	u	u	u	u	u
adventus:Gen.Sg	4	m	Gen.Sg	112	adventūs	ūs	us	u	u	u	u	u	u	u	u	u
adventus:Gen.Pl	4	m	Gen.Pl	112	adventuum	uum	us	u	u	u	u	u	u	u	u	u
adventus:Abl.Sg	4	m	Abl.Sg	112	adventū	ū	ū	u	u	u	u	u	u	u	u	u
adventus:Nom.Pl	4	m	Nom.Pl	112	adventūs	ūs	us	us	u	u	u	u	u	u	u	u
adventus:Acc.Sg	4	m	Acc.Sg	112	adventum	um	um	um	um	um	um	um	u	u	u	u
adventus:Dat.Pl	4	m	Dat.Pl	112	adventibus	ibus	us	u	u	u	u	u	u	u	u	u
aedes:Nom.Sg	3	f	Nom.Sg	68	aedēs	ēs		e	e	e	e	e	e	e	e	e
aedes:Abl.Pl	3	f	Abl.Pl	68	aedibus	ibus	i	e	e	e	e	e	e	e	e	e
aedes:Dat.Sg	3	f	Dat.Sg	68	aedī	ī	e	e	e	e	e	em	e	e	e	e
aedes:Acc.Pl	3	f	Acc.Pl	68	aedēs	ēs	ēs	ēs	ēs	e	e	e	e	e	e	e
aedes:Gen.Sg	3	f	Gen.Sg	68	aedis	is	i	e	e	e	e	e	e	e	e	e
aedes:Gen.Pl	3	f	Gen.Pl	68	aedium	ium	i	e	e	e	e	e	e	e	e	e
aedes:Abl.Sg	3	f	Abl.Sg	68	aede	e	e	e	e	e	e	e	e	e	e	e
aedes:Nom.Pl	3	f	Nom.Pl	68	aedēs	ēs	ēs	ēs	ēs	e	e	e	e	e	e	e
aedes:Acc.Sg	3	f	Acc.Sg	68	aedem	em	em	em	em	em	em	em	em	e	e	e
aedes:Dat.Pl	3	f	Dat.Pl	68	aedibus	ibus	i	e	e	e	e	e	e	e	e	e
aer:Nom.Sg	3	m	Nom.Sg	78	āēr		i	e	e	e	e	e	e	e	e	e
aer:Abl.Pl	3	m	Abl.Pl	78	āeribus	ibus	i	e	e	e	e	e	e	e	e	e
aer:Dat.Sg	3	m	Dat.Sg	78	āerī	ī	i	e	e	e	e	em	e	e	e	e
aer:Acc.Pl	3	m	Acc.Pl	78	āerēs	ēs	ēs	ēs	ēs	e	e	e	e	e	e	e
aer:Gen.Sg	3	m	Gen.Sg	78	āeris	is	is	e	e	e	e	e	e	e	e	e
aer:Gen.Pl	3	m	Gen.Pl	78	āerum	um	i	e	e	e	e	e	e	e	e	e
aer:Abl.Sg	3	m	Abl.Sg	78	āere	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	3	m	Nom.Pl	78	āerēs	ēs	ēs	ēs	ēs	e	e	e	e	e	e	e
aer:Acc.Sg	3	m	Acc.Sg	78	āera	a	em	em	em	em	em	em	e	e	e	e
aer:Dat.Pl	3	m	Dat.Pl	78	āeribus	ibus	i	e	e	e	e	e	e	e	e	e
aes:Nom.Sg	3	n	Nom.Sg	141	aes							a	a	a	a	a
aes:Abl.Pl	3	n	Abl.Pl	141	aeribus	ibus	i			a	a	a	a	a	a	a
aes:Dat.Sg	3	n	Dat.Sg	141	aerī	ī	i	e	e			a	a	a	a	a
aes:Acc.Pl	3	n	Acc.Pl	141	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Gen.Sg	3	n	Gen.Sg	141	aeris	is	i	e	e			a	a	a	a	a
aes:Gen.Pl	3	n	Gen.Pl	141	aerum	um				a	a	a	a	a	a	a
aes:Abl.Sg	3	n	Abl.Sg	141	aere	e	e	e				a	a	a	a	a
aes:Nom.Pl	3	n	Nom.Pl	141	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Acc.Sg	3	n	Acc.Sg	141	aes		m	m	m	m	m	am	a	a	a	a
aes:Dat.Pl	3	n	Dat.Pl	141	aeribus	ibus			a	a	a	a	a	a	a	a
aestas:Nom.Sg	3	f	Nom.Sg	89	aestās		e	e	e	e	e	e	e	e	e	e
aestas:Abl.Pl	3	f	Abl.Pl	89	aestātibus	ibus	i	e	e	e	e	e	e	e	e	e
aestas:Dat.Sg	3	f	Dat.Sg	89	aestātī	ī	e	e	e	e	e	e	e	e	e	e
aestas:Acc.Pl	3	f	Acc.Pl	89	aestātēs	ēs	ēs	ēs	ēs	e	e	e	e	e	e	e
aestas:Gen.Sg	3	f	Gen.Sg	89	aestātis	is	i	e	e	e	e	e	e	e	e	e
aestas:Gen.Pl	3	f	Gen.Pl	89	aestātum	um	i	e	e	e	e	e	e	e	e	e
aestas:Abl.Sg	3	f	Abl.Sg	89	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	Nom.Pl	89	aestātēs	ēs	ēs	ēs	ēs	e	e	e	e	e	e	e
aestas:Acc.Sg	3	f	Acc.Sg	89	aestātem	em	em	em	em	em	em	em	e	e	e	e
aestas:Dat.Pl	3	f	Dat.Pl	89	aestātibus	ibus	i	e	e	e	e	e	e	e	e	e
