Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	ēs	e								
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	es	is	is	is	is	is	is	is	is	is
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	ē	is	is	is	is	is	is	is	is	is
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	es	is	is	is	is	is	is	is	is	is
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	ies	is	is	is	is	is	is	is	is	is
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	es	is	is	is	is	is	is	is	is	is
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	e	e	e							
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	ēs	is	is	is	is	is	is	is	is	is
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	e	em	em	em	em	em	m	m		
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	es	is	is	is	is	is	is	is	is	is
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	u	u	u	u	u					
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	us	s								
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	u	i								
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	us									
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	us	i								
aditus:Gen.Pl	4	m	Gen.Pl	107	adituum	uum	is	is	is	is	is	is	is	is	is	is
aditus:Abl.Sg	4	m	Abl.Sg	107	aditū	ū	u	u	u	u	u					
aditus:Nom.Pl	4	m	Nom.Pl	107	aditūs	ūs	us	s								
aditus:Acc.Sg	4	m	Acc.Sg	107	aditum	um	um	um	um	um						
aditus:Dat.Pl	4	m	Dat.Pl	107	aditibus	ibus	is	is	is	is	is	is	is	is	is	is
adulter:Nom.Sg	2	mh	Nom.Sg	55	adulter		u	u	u	u	u	u				
adulter:Abl.Pl	2	mh	Abl.Pl	55	adulterīs	īs	s	s								
adulter:Dat.Sg	2	mh	Dat.Sg	55	adulterō	ō	is									
adulter:Acc.Pl	2	mh	Acc.Pl	55	adulterōs	ōs	s									
adulter:Gen.Sg	2	mh	Gen.Sg	55	adulterī	ī	īs				u	u				
adulter:Gen.Pl	2	mh	Gen.Pl	55	adulterōrum	ōrum	is	s				s				
adulter:Abl.Sg	2	mh	Abl.Sg	55	adulterō	ō	o	o	u	u	u	u				
adulter:Nom.Pl	2	mh	Nom.Pl	55	adulterī	ī	s	s								
adulter:Acc.Sg	2	mh	Acc.Sg	55	adulterum	um	um	um	um	um						
adulter:Dat.Pl	2	mh	Dat.Pl	55	adulterīs	īs	is	s								
adventus:Nom.Sg	4	m	Nom.Sg	112	adventus	us	u	u	u	u						
adventus:Abl.Pl	4	m	Abl.Pl	112	adventibus	ibus	us	s								
adventus:Dat.Sg	4	m	Dat.Sg	112	adventuī	uī	u									
adventus:Acc.Pl	4	m	Acc.Pl	112	adventūs	ūs	us									
adventus:Gen.Sg	4	m	Gen.Sg	112	adventūs	ūs	us									
adventus:Gen.Pl	4	m	Gen.Pl	112	adventuum	uum	is	is	is	is	is	is	is	is	is	is
adventus:Abl.Sg	4	m	Abl.Sg	112	adventū	ū	u	u	u	u						
adventus:Nom.Pl	4	m	Nom.Pl	112	adventūs	ūs	us	s								
adventus:Acc.Sg	4	m	Acc.Sg	112	adventum	um	um	um	um	um						
adventus:Dat.Pl	4	m	Dat.Pl	112	adventibus	ibus	is	is	is	is	is	is	is	is	is	is
aedes:Nom.Sg	3	f	Nom.Sg	68	aedēs	ēs	i									
aedes:Abl.Pl	3	f	Abl.Pl	68	aedibus	ibus	is	is	is	is	is	is	is	is	is	is
aedes:Dat.Sg	3	f	Dat.Sg	68	aedī	ī	e	is	is	is	is	is	is	is	is	is
aedes:Acc.Pl	3	f	Acc.Pl	68	aedēs	ēs	is	is	is	is	is	is	is	is	is	is
aedes:Gen.Sg	3	f	Gen.Sg	68	aedis	is	is	is	is	is	is	is	is	is	is	is
aedes:Gen.Pl	3	f	Gen.Pl	68	aedium	ium	is	is	is	is	is	is	is	is	is	is
aedes:Abl.Sg	3	f	Abl.Sg	68	aede	e	e	e	e	e						
aedes:Nom.Pl	3	f	Nom.Pl	68	aedēs	ēs	is	is	is	is	is	is	is	is	is	is
aedes:Acc.Sg	3	f	Acc.Sg	68	aedem	em	em	em	em	em	em	em	m			
aedes:Dat.Pl	3	f	Dat.Pl	68	aedibus	ibus	is	is	is	is	is	is	is	is	is	is
aer:Nom.Sg	3	m	Nom.Sg	78	āēr		i									
aer:Abl.Pl	3	m	Abl.Pl	78	āeribus	ibus	is	is	is	is	is	is	is	is	is	is
aer:Dat.Sg	3	m	Dat.Sg	78	āerī	ī	i	is	is	is	is	is	is	is	is	is
aer:Acc.Pl	3	m	Acc.Pl	78	āerēs	ēs	is	is	is	is	is	is	is	is	is	is
aer:Gen.Sg	3	m	Gen.Sg	78	āeris	is	is	is	is	is	is	is	is	is	is	is
aer:Gen.Pl	3	m	Gen.Pl	78	āerum	um	is	is	is	is	is	is	is	is	is	is
aer:Abl.Sg	3	m	Abl.Sg	78	āere	e	e	e	e	e						
aer:Nom.Pl	3	m	Nom.Pl	78	āerēs	ēs	is	is	is	is	is	is	is	is	is	is
aer:Acc.Sg	3	m	Acc.Sg	78	āera	a	em	em	em	em	em	em	m			
aer:Dat.Pl	3	m	Dat.Pl	78	āeribus	ibus	is	is	is	is	is	is	is	is	is	is
aes:Nom.Sg	3	n	Nom.Sg	141	aes											
aes:Abl.Pl	3	n	Abl.Pl	141	aeribus	ibus	e	s								
aes:Dat.Sg	3	n	Dat.Sg	141	aerī	ī	i				i					
aes:Acc.Pl	3	n	Acc.Pl	141	aera	a										
aes:Gen.Sg	3	n	Gen.Sg	141	aeris	is	i									
aes:Gen.Pl	3	n	Gen.Pl	141	aerum	um	i	s	is	is	is	is	is	is	is	is
aes:Abl.Sg	3	n	Abl.Sg	141	aere	e	e	e	e							
aes:Nom.Pl	3	n	Nom.Pl	141	aera	a		s								
aes:Acc.Sg	3	n	Acc.Sg	141	aes			m	em	em	m	m	m			
aes:Dat.Pl	3	n	Dat.Pl	141	aeribus	ibus	is	is	is	is	is	is	is	is	is	is
aestas:Nom.Sg	3	f	Nom.Sg	89	aestās		i									
aestas:Abl.Pl	3	f	Abl.Pl	89	aestātibus	ibus	is	is	is	is	is	is	is	is	is	is
aestas:Dat.Sg	3	f	Dat.Sg	89	aestātī	ī	e	is	is	is	is	is	is	is	is	is
aestas:Acc.Pl	3	f	Acc.Pl	89	aestātēs	ēs	is	is	is	is	is	is	is	is	is	is
aestas:Gen.Sg	3	f	Gen.Sg	89	aestātis	is	is	is	is	is	is	is	is	is	is	is
aestas:Gen.Pl	3	f	Gen.Pl	89	aestātum	um	is	is	is	is	is	is	is	is	is	is
