Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	ī	e	e							
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	īs	īs	īs	is	es					
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	ē	ī	e	e	e	e	e	e	e	e
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ē	e	e	e
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	ē	ī	ī	ī						
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	ērum	ērum								
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	e	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs				
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	em	em	em	em	em	em	em	em	em	em
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	ēs	ē	e							
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	ū	ū	ū	ū	um	um	um	um	um	um
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	ubus	ubus	ubus							
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	ū	ū	ū	um	um	um	ī	ī	ī	ī
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	us	us	us	us						
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	ū	ū	ū	um		ī	ī	ī	ī	ī
aditus:Gen.Pl	4	m	Gen.Pl	107	adituum	uum	uum	uum	ubus							
aditus:Abl.Sg	4	m	Abl.Sg	107	aditū	ū	ū	ū	ū	ū	ō	ō	ō	ō	ō	ō
aditus:Nom.Pl	4	m	Nom.Pl	107	aditūs	ūs	us	us	us	us						
aditus:Acc.Sg	4	m	Acc.Sg	107	aditum	um	um	um	um	um	um	um	um	um	um	um
aditus:Dat.Pl	4	m	Dat.Pl	107	aditibus	ibus		us	ibus							
adulter:Nom.Sg	2	mh	Nom.Sg	55	adulter		ū	ū	um	um	um	um	um	um	um	um
adulter:Abl.Pl	2	mh	Abl.Pl	55	adulterīs	īs	īs	īs	īs	is						
adulter:Dat.Sg	2	mh	Dat.Sg	55	adulterō	ō		e	ī	ī	ī	ī	ī	ī	ī	ī
adulter:Acc.Pl	2	mh	Acc.Pl	55	adulterōs	ōs										
adulter:Gen.Sg	2	mh	Gen.Sg	55	adulterī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
adulter:Gen.Pl	2	mh	Gen.Pl	55	adulterōrum	ōrum	ōrum	ōrum								
adulter:Abl.Sg	2	mh	Abl.Sg	55	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
adulter:Nom.Pl	2	mh	Nom.Pl	55	adulterī	ī										
adulter:Acc.Sg	2	mh	Acc.Sg	55	adulterum	um	um	um	um	um	um	um	um	um	um	um
adulter:Dat.Pl	2	mh	Dat.Pl	55	adulterīs	īs	is									
adventus:Nom.Sg	4	m	Nom.Sg	112	adventus	us	ū	ū	ū	ū	um	um	um	um	um	um
adventus:Abl.Pl	4	m	Abl.Pl	112	adventibus	ibus	ubus	ubus	ubus							
adventus:Dat.Sg	4	m	Dat.Sg	112	adventuī	uī	ū	ū	ū	um	um	um	ī	ī	ī	ī
adventus:Acc.Pl	4	m	Acc.Pl	112	adventūs	ūs	us	us	us	us						
adventus:Gen.Sg	4	m	Gen.Sg	112	adventūs	ūs	ū	ū	ū	um		ī	ī	ī	ī	ī
adventus:Gen.Pl	4	m	Gen.Pl	112	adventuum	uum	uum	uum	ubus							
adventus:Abl.Sg	4	m	Abl.Sg	112	adventū	ū	ū	ū	ū	ū	ō	ō	ō	ō	ō	ō
adventus:Nom.Pl	4	m	Nom.Pl	112	adventūs	ūs	us	us	us	us						
adventus:Acc.Sg	4	m	Acc.Sg	112	adventum	um	um	um	um	um	um	um	um	um	um	um
adventus:Dat.Pl	4	m	Dat.Pl	112	adventibus	ibus		us	ibus							
aedes:Nom.Sg	3	f	Nom.Sg	68	aedēs	ēs										
aedes:Abl.Pl	3	f	Abl.Pl	68	aedibus	ibus	ibus	ibus	ibus	is						
aedes:Dat.Sg	3	f	Dat.Sg	68	aedī	ī	ī	e	e	e	e	e	e	e	e	e
aedes:Acc.Pl	3	f	Acc.Pl	68	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ē	e	e	e
aedes:Gen.Sg	3	f	Gen.Sg	68	aedis	is	ī	ī	ī							
aedes:Gen.Pl	3	f	Gen.Pl	68	aedium	ium	uum	ubus	ubus							
aedes:Abl.Sg	3	f	Abl.Sg	68	aede	e	e	e	e	e	e	e	e	e	e	e
aedes:Nom.Pl	3	f	Nom.Pl	68	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs				
aedes:Acc.Sg	3	f	Acc.Sg	68	aedem	em	em	em	em	em	em	em	em	em	em	em
aedes:Dat.Pl	3	f	Dat.Pl	68	aedibus	ibus	ibus	ibus	ibus							
aer:Nom.Sg	3	m	Nom.Sg	78	āēr											
aer:Abl.Pl	3	m	Abl.Pl	78	āeribus	ibus	ibus	ibus	ibus	is	es					
aer:Dat.Sg	3	m	Dat.Sg	78	āerī	ī	ī	ī	e	e	ī	ī	ī	e	e	e
aer:Acc.Pl	3	m	Acc.Pl	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ē	e	e	e
aer:Gen.Sg	3	m	Gen.Sg	78	āeris	is	ī	ī	ī	ī	ī					
aer:Gen.Pl	3	m	Gen.Pl	78	āerum	um	uum	uum	ubus							
aer:Abl.Sg	3	m	Abl.Sg	78	āere	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	3	m	Nom.Pl	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs				
aer:Acc.Sg	3	m	Acc.Sg	78	āera	a	em	em	em	em	em	em	em	em	em	em
aer:Dat.Pl	3	m	Dat.Pl	78	āeribus	ibus	ibus	ibus	ubus							
aes:Nom.Sg	3	n	Nom.Sg	141	aes											
aes:Abl.Pl	3	n	Abl.Pl	141	aeribus	ibus	ibus	ibus	ibus							
aes:Dat.Sg	3	n	Dat.Sg	141	aerī	ī	ī	e	ī	ī	ī	ī	ī	e	e	e
aes:Acc.Pl	3	n	Acc.Pl	141	aera	a	a	a	a	a	a		e	e	e	e
aes:Gen.Sg	3	n	Gen.Sg	141	aeris	is	ī	ī	ī	ī	ī					
aes:Gen.Pl	3	n	Gen.Pl	141	aerum	um	m	uum	ubus							
