Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	ē	ē	ē	ē	ē	ēs	ēs	ēs	ēs	ēs
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	ēbus	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	ē	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	ērum	ē	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	ē	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	em	em	ē	ē	ē	ē	ē	ē	ē	ē
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	ē	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	us	ū	ū	ū	ū	ū	ū	ū	ū	ū
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	ūs	ūs	ū	ū	ū	ū	ū	ū	ū	ū
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	ūs	ūs	ū	ū	ū	ū	ūs	ūs	ū	ū
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	ūs	ūs	ūs	ūs	ū	ū	ū	ū	ū	ū
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	ūs	ūs	ū	ū	ū	ū	ūs	ūs	ū	ū
aditus:Gen.Pl	4	m	Gen.Pl	107	adituum	uum	ū	ū	uum	uum	uum	ū	ū	ū	ū	ū
aditus:Abl.Sg	4	m	Abl.Sg	107	aditū	ū	ū	ū	ū	ū	ū	ū	ū	ū	ū	ū
aditus:Nom.Pl	4	m	Nom.Pl	107	aditūs	ūs	ūs	ūs	ūs	ūs	ū	ū	ū	ū	ū	ū
