Word	Declension	Gender	TotFreq	Declined	0	1
acies:Nom.Sg	5	f	328	aciēs	ēs	ae
acies:Abl.Pl	5	f	328	aciēbus	ēbus	ēbus
acies:Dat.Sg	5	f	328	aciēī	ēī	ae
acies:Acc.Pl	5	f	328	aciēs	ēs	ae
acies:Gen.Sg	5	f	328	aciēī	ēī	ae
acies:Gen.Pl	5	f	328	aciērum	ērum	ēbus
acies:Abl.Sg	5	f	328	aciē	ē	ae
acies:Nom.Pl	5	f	328	aciēs	ēs	ae
acies:Acc.Sg	5	f	328	aciem	em	am
acies:Dat.Pl	5	f	328	aciēbus	ēbus	ēbus
aditus:Nom.Sg	4	m	107	aditus	us	us
aditus:Abl.Pl	4	m	107	aditibus	ibus	ubus
aditus:Dat.Sg	4	m	107	adituī	uī	ū
aditus:Acc.Pl	4	m	107	aditūs	ūs	ō
aditus:Gen.Sg	4	m	107	aditūs	ūs	ū
aditus:Gen.Pl	4	m	107	adituum	uum	ubus
aditus:Abl.Sg	4	m	107	aditū	ū	ū
aditus:Nom.Pl	4	m	107	aditūs	ūs	us
aditus:Acc.Sg	4	m	107	aditum	um	um
aditus:Dat.Pl	4	m	107	aditibus	ibus	ubus
adulter:Nom.Sg	2	m	55	adulter		um
adulter:Abl.Pl	2	m	55	adulterīs	īs	ē
adulter:Dat.Sg	2	m	55	adulterō	ō	ō
adulter:Acc.Pl	2	m	55	adulterōs	ōs	ē
adulter:Gen.Sg	2	m	55	adulterī	ī	ō
adulter:Gen.Pl	2	m	55	adulterōrum	ōrum	ē
adulter:Abl.Sg	2	m	55	adulterō	ō	ō
adulter:Nom.Pl	2	m	55	adulterī	ī	ō
adulter:Acc.Sg	2	m	55	adulterum	um	um
adulter:Dat.Pl	2	m	55	adulterīs	īs	ē
adventus:Nom.Sg	4	m	112	adventus	us	us
adventus:Abl.Pl	4	m	112	adventibus	ibus	ubus
adventus:Dat.Sg	4	m	112	adventuī	uī	ū
adventus:Acc.Pl	4	m	112	adventūs	ūs	ō
adventus:Gen.Sg	4	m	112	adventūs	ūs	ū
adventus:Gen.Pl	4	m	112	adventuum	uum	ubus
adventus:Abl.Sg	4	m	112	adventū	ū	ū
adventus:Nom.Pl	4	m	112	adventūs	ūs	ū
adventus:Acc.Sg	4	m	112	adventum	um	um
adventus:Dat.Pl	4	m	112	adventibus	ibus	ubus
aedes:Nom.Sg	3	f	68	aedēs	ēs	e
aedes:Abl.Pl	3	f	68	aedibus	ibus	ibus
aedes:Dat.Sg	3	f	68	aedī	ī	e
aedes:Acc.Pl	3	f	68	aedēs	ēs	a
aedes:Gen.Sg	3	f	68	aedis	is	e
aedes:Gen.Pl	3	f	68	aedium	ium	ibus
aedes:Abl.Sg	3	f	68	aede	e	e
aedes:Nom.Pl	3	f	68	aedēs	ēs	e
aedes:Acc.Sg	3	f	68	aedem	em	em
aedes:Dat.Pl	3	f	68	aedibus	ibus	ibus
aer:Nom.Sg	3	m	78	āēr		
aer:Abl.Pl	3	m	78	āeribus	ibus	ibus
aer:Dat.Sg	3	m	78	āerī	ī	e
aer:Acc.Pl	3	m	78	āerēs	ēs	a
aer:Gen.Sg	3	m	78	āeris	is	e
aer:Gen.Pl	3	m	78	āerum	um	ibus
aer:Abl.Sg	3	m	78	āere	e	e
aer:Nom.Pl	3	m	78	āerēs	ēs	e
aer:Acc.Sg	3	m	78	āera	a	am
aer:Dat.Pl	3	m	78	āeribus	ibus	ibus
aes:Nom.Sg	3	n	141	aes		
aes:Abl.Pl	3	n	141	aeribus	ibus	ibus
aes:Dat.Sg	3	n	141	aerī	ī	e
aes:Acc.Pl	3	n	141	aera	a	e
aes:Gen.Sg	3	n	141	aeris	is	e
aes:Gen.Pl	3	n	141	aerum	um	ibus
aes:Abl.Sg	3	n	141	aere	e	e
aes:Nom.Pl	3	n	141	aera	a	e
aes:Acc.Sg	3	n	141	aes		e
aes:Dat.Pl	3	n	141	aeribus	ibus	ibus
aestas:Nom.Sg	3	f	89	aestās		e
aestas:Abl.Pl	3	f	89	aestātibus	ibus	ibus
aestas:Dat.Sg	3	f	89	aestātī	ī	e
aestas:Acc.Pl	3	f	89	aestātēs	ēs	a
aestas:Gen.Sg	3	f	89	aestātis	is	e
aestas:Gen.Pl	3	f	89	aestātum	um	ibus
aestas:Abl.Sg	3	f	89	aestāte	e	e
aestas:Nom.Pl	3	f	89	aestātēs	ēs	e
aestas:Acc.Sg	3	f	89	aestātem	em	em
aestas:Dat.Pl	3	f	89	aestātibus	ibus	ibus
aestus:Nom.Sg	4	m	105	aestus	us	us
aestus:Abl.Pl	4	m	105	aestibus	ibus	ubus
aestus:Dat.Sg	4	m	105	aestuī	uī	ū
aestus:Acc.Pl	4	m	105	aestūs	ūs	ō
aestus:Gen.Sg	4	m	105	aestūs	ūs	ū
aestus:Gen.Pl	4	m	105	aestuum	uum	ubus
aestus:Abl.Sg	4	m	105	aestū	ū	ū
aestus:Nom.Pl	4	m	105	aestūs	ūs	ū
aestus:Acc.Sg	4	m	105	aestum	um	um
aestus:Dat.Pl	4	m	105	aestibus	ibus	ubus
aetas:Nom.Sg	3	f	418	aetās		e
aetas:Abl.Pl	3	f	418	aetātibus	ibus	ibus
aetas:Dat.Sg	3	f	418	aetātī	ī	e
