Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
1	acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	ēs	aciēs	es	es	e	es	es	es	es	es	es	es	es
2	acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	ēbus	aciēbus	ebos	es	es	es	es	es	es	es	es	es	es
3	acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	ēī	aciēī	ei	es	es	es	es	es	es	es	es	es	es
4	acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	ēs	aciēs	es	es	es	es	es	es	es	es	es	es	es
5	acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	ēī	aciēī	ei	es	es	es	es	es	es	es	es	es	es
6	acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	ērum	aciērum	ero	es	es	es	es	es	es	es	es	es	es
7	acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	ē	aciē	e	es	e	es	es	es	es	es	es	es	es
8	acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	ēs	aciēs	es	es	es	es	es	es	es	es	es	es	es
9	acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	em	aciem	e	es	es	es	es	es	es	es	es	es	es
10	acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	ēbus	aciēbus	ebos	es	es	es	es	es	es	es	es	es	es
11	aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	us	aditus	os	os	o	o	o	o	o	o	o	o	o
12	aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	ibus	aditibus	ebos	os	os	o	o	o	o	o	o	o	o
13	aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	uī	adituī	oi	os	os	o	o	o	o	o	o	os	os
14	aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	ūs	aditūs	us	os	o	o	o	o	o	o	o	o	o
15	aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	ūs	aditūs	us	os	os	os	o	o	o	o	o	os	os
16	aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	uum	adituum	u	es	es	es	es	es	es	es	es	es	es
17	aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	ū	aditū	u	os	o	o	o	o	o	o	o	o	o
18	aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	ūs	aditūs	us	os	os	o	o	o	o	o	o	o	o
19	aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	um	aditum	o	os	o	o	o	o	o	o	o	o	o
20	aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	ibus	aditibus	ebos	es	es	es	es	es	es	es	es	es	es
21	adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55		adulter		os	os	o	o	o	o	o	o	o	o
22	adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	īs	adulterīs	is	es	es	os	o	o	o	o	o	o	o
23	adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	ō	adulterō	o	os	es	es	s	os	o	o	o	o	o
24	adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	ōs	adulterōs	os	os	os	o	o	o	o	o	o	o	o
25	adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	ī	adulterī	i	s	es	es	es	os	o	o	o	o	o
26	adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	ōrum	adulterōrum	oro	es	es	es	es	es	es	es	es	os	o
27	adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	ō	adulterō	o	os	o	o	o	o	o	o	o	o	o
28	adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	ī	adulterī	i	s	os	o	o	o	o	o	o	o	o
29	adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	um	adulterum	o	os	o	o	o	o	o	o	o	o	o
