Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
1	acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	ēs	aciēs	i	i	i	e	e	e	e	e	e	e	e
2	acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	ēbus	aciēbus	ebo	i	i	i	i	i	i	i	i	i	i
3	acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	ēī	aciēī	i	i	i	i	i	i	i	i	i	i	i
4	acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	ēs	aciēs	i	i	i	i	i	i	i	i	i	i	i
5	acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	ēī	aciēī	i	i	i	i	i	i	i	i	i	i	i
6	acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	ērum	aciērum	ero	io									
7	acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	ē	aciē	e	i	e	e	e	e	e	e	e	e	e
8	acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	ēs	aciēs	i	i	i	i	i	i	i	i	i	i	i
9	acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	em	aciem	e	e	i	e	e	e	e	e	e	e	e
10	acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	ēbus	aciēbus	ebo	i	i								
11	aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	us	aditus	o	o	o	o	o	o	o	o	o	o	o
12	aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	ibus	aditibus	ebo	i									
13	aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	uī	adituī	o	i									
14	aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	ūs	aditūs	u	u									
15	aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	ūs	aditūs	u	u	u								
16	aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	uum	adituum	u	u	u								
17	aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	ū	aditū	u	o	o	o	o	o	o	o	o	o	o
18	aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	ūs	aditūs	u	u	u								
19	aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	um	aditum	o	o	o	o	o	o	o	o	o	o	o
20	aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	ibus	aditibus	ebo										
21	adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55		adulter		o	o	o	o	o	o	o	o	o	o
22	adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	īs	adulterīs	i	e									
23	adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	ō	adulterō	o										
24	adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	ōs	adulterōs	o										
25	adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	ī	adulterī	i	i									
26	adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	ōrum	adulterōrum	oro										
27	adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	ō	adulterō	o	o	o	o	o	o	o	o	o	o	o
28	adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	ī	adulterī	i										
29	adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	um	adulterum	o	o	o	o	o	o	o	o	o	o	o
