Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	ēs	aciēs	ei	e	e	e	e	e	e	e	e	e	e
acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	ēbus	aciēbus	eboi	eibi	ei	e	e	e	e	e	e	e	e
acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	ēī	aciēī	ei	e	e	e	e	e	e	e	e	e	e
acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	ēs	aciēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	ēī	aciēī	ei	e	e	e	e	e	e	e	e	e	e
acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	ērum	aciērum	ero	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	ē	aciē	e	e	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	ēs	aciēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	em	aciem	e	e	e	e	e	e	e	e	e	e	e
acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	ēbus	aciēbus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	us	aditus	oi	ui	oi	oi	oi	oi	oi	o	o	o	o
aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	ibus	aditibus	eboi	ī	i	i	ei	i	i	i	-	e	e
aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	uī	adituī	oi	ui	ui	i	i	i	i	i	e	e	e
aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	ūs	aditūs	ui	oi	i	i	i	i	i	i	i	ei	ei
aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	ūs	aditūs	ui	ui	i	i	i	i	i	i	e	e	e
aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	uum	adituum	u	i	i	i	i	i	ei	i	ei	ei	ei
aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	ū	aditū	u	o	o	o	o	o	o	o	o	o	o
aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	ūs	aditūs	ui	i	i	i	i	i	i	i	i	ei	ei
aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	um	aditum	o	o	oi	oi	oi	oi	oi	o	o	o	o
aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	ibus	aditibus	eboi	i	i	i	i	i	ei	i	ei	ei	ei
adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55		adulter	-	o	o	o	o	o	o	o	o	o	o
adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	īs	adulterīs	ī	ei	e	e	e	-	ei	e	e	e	e
adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	ō	adulterō	o	-	-	i	i	i	i	e	e	e	e
adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	ōs	adulterōs	oi	i	i	i	i	i	i	i	ei	ei	ei
adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	ī	adulterī	i	ī	i	i	i	i	i	e	e	e	e
adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	ōrum	adulterōrum	oro	i	i	i	i	i	i	ei	ei	ei	ei
adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	ō	adulterō	o	o	o	o	o	o	o	o	o	o	o
adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	ī	adulterī	i	i	i	i	i	i	i	i	ei	ei	ei
adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	um	adulterum	o	o	o	o	o	o	o	o	o	o	o
adulter:Dat.Pl	2	mh	Dat.Pl	Dat	Pl	55	īs	adulterīs	ī	ī	i	i	i	i	ei	ei	ei	ei	ei
adventus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	112	us	adventus	oi	ui	oi	oi	oi	oi	oi	o	o	o	o
adventus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	112	ibus	adventibus	eboi	ī	i	i	ei	i	i	i	-	e	e
adventus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	112	uī	adventuī	oi	oi	oi	i	i	i	i	i	e	e	e
adventus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	112	ūs	adventūs	ui	oi	i	i	i	i	i	i	i	ei	ei
adventus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	112	ūs	adventūs	ui	ui	i	i	i	i	i	i	e	e	e
adventus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	112	uum	adventuum	u	i	i	i	i	i	ei	i	ei	ei	ei
adventus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	112	ū	adventū	u	o	o	o	o	o	o	o	o	o	o
adventus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	112	ūs	adventūs	ui	i	i	i	i	i	i	i	i	ei	ei
adventus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	112	um	adventum	o	oi	oi	oi	oi	oi	oi	o	o	o	o
adventus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	112	ibus	adventibus	eboi	i	i	i	i	i	ei	i	ei	ei	ei
aedes:Nom.Sg	3	f	Nom.Sg	Nom	Sg	68	ēs	aedēs	ei	e	e	e	e	e	e	e	e	e	e
aedes:Abl.Pl	3	f	Abl.Pl	Abl	Pl	68	ibus	aedibus	eboi	ei	e	e	e	e	e	e	e	e	e
aedes:Dat.Sg	3	f	Dat.Sg	Dat	Sg	68	ī	aedī	i	e	e	e	e	e	e	e	e	e	e
aedes:Acc.Pl	3	f	Acc.Pl	Acc	Pl	68	ēs	aedēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aedes:Gen.Sg	3	f	Gen.Sg	Gen	Sg	68	is	aedis	ei	ī	ei	ei	e	e	e	e	e	e	e
aedes:Gen.Pl	3	f	Gen.Pl	Gen	Pl	68	ium	aedium	eo	ī	ī	ei	ei	ei	ei	ei	ei	ei	ei
aedes:Abl.Sg	3	f	Abl.Sg	Abl	Sg	68	e	aede	e	e	e	e	e	e	e	e	e	e	e
aedes:Nom.Pl	3	f	Nom.Pl	Nom	Pl	68	ēs	aedēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aedes:Acc.Sg	3	f	Acc.Sg	Acc	Sg	68	em	aedem	e	e	e	e	e	e	e	e	e	e	e
aedes:Dat.Pl	3	f	Dat.Pl	Dat	Pl	68	ibus	aedibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Nom.Sg	3	m	Nom.Sg	Nom	Sg	78		āēr	-	e	e	e	e	e	e	e	e	e	e
aer:Abl.Pl	3	m	Abl.Pl	Abl	Pl	78	ibus	āeribus	eboi	eib	ei	e	e	e	e	e	e	e	e
aer:Dat.Sg	3	m	Dat.Sg	Dat	Sg	78	ī	āerī	i	i	e	ei	e	e	e	e	e	e	e
aer:Acc.Pl	3	m	Acc.Pl	Acc	Pl	78	ēs	āerēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Gen.Sg	3	m	Gen.Sg	Gen	Sg	78	is	āeris	ei	i	ī	ei	ei	ei	e	e	e	e	e
aer:Gen.Pl	3	m	Gen.Pl	Gen	Pl	78	um	āerum	o	ī	ī	ei	ei	ei	ei	ei	ei	ei	ei
aer:Abl.Sg	3	m	Abl.Sg	Abl	Sg	78	e	āere	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	3	m	Nom.Pl	Nom	Pl	78	ēs	āerēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Acc.Sg	3	m	Acc.Sg	Acc	Sg	78	a	āera	a	e	e	e	e	e	e	e	e	e	e
aer:Dat.Pl	3	m	Dat.Pl	Dat	Pl	78	ibus	āeribus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aes:Nom.Sg	3	n	Nom.Sg	Nom	Sg	141		aes	-	-	-	-	-	-	e	e	e	e	e
aes:Abl.Pl	3	n	Abl.Pl	Abl	Pl	141	ibus	aeribus	eboi	e	e	e	e	e	e	e	e	e	e
aes:Dat.Sg	3	n	Dat.Sg	Dat	Sg	141	ī	aerī	i	e	e	e	e	e	e	e	e	e	e
aes:Acc.Pl	3	n	Acc.Pl	Acc	Pl	141	a	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Gen.Sg	3	n	Gen.Sg	Gen	Sg	141	is	aeris	ei	i	e	e	e	e	e	e	e	e	e
aes:Gen.Pl	3	n	Gen.Pl	Gen	Pl	141	um	aerum	o	-	e	e	e	e	e	e	e	e	e
aes:Abl.Sg	3	n	Abl.Sg	Abl	Sg	141	e	aere	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	3	n	Nom.Pl	Nom	Pl	141	a	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Acc.Sg	3	n	Acc.Sg	Acc	Sg	141		aes	-	-	-	-	-	-	e	e	e	e	e
aes:Dat.Pl	3	n	Dat.Pl	Dat	Pl	141	ibus	aeribus	eboi	-	e	e	e	e	e	e	e	e	e
aestas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	89		aestās	-	e	e	e	e	e	e	e	e	e	e
aestas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	89	ibus	aestātibus	eboi	ei	e	e	e	e	e	e	e	e	e
aestas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	89	ī	aestātī	i	e	e	e	e	e	e	e	e	e	e
aestas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	89	ēs	aestātēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aestas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	89	is	aestātis	ei	ei	e	ei	e	e	e	e	e	e	e
