Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	ēs	aciēs	es	es	e	e	e	e	e	es	es	es	es
acies:Abl.Pl	5	f	Abl.Pl	328	ēbus	aciēbus	ebos	es	es	es	es	es	es	es	es	es	es
acies:Dat.Sg	5	f	Dat.Sg	328	ēī	aciēī	ei	e	es	es	es	es	es	es	es	es	es
acies:Acc.Pl	5	f	Acc.Pl	328	ēs	aciēs	es	es	es	es	es	es	es	es	es	es	es
acies:Gen.Sg	5	f	Gen.Sg	328	ēī	aciēī	ei	es	es	es	es	es	es	es	es	es	es
acies:Gen.Pl	5	f	Gen.Pl	328	ērum	aciērum	ero	es	es	es	es	es	es	es	es	es	es
acies:Abl.Sg	5	f	Abl.Sg	328	ē	aciē	e	e	e	e	e	e	e	es	es	es	es
acies:Nom.Pl	5	f	Nom.Pl	328	ēs	aciēs	es	es	es	es	es	es	es	es	es	es	es
acies:Acc.Sg	5	f	Acc.Sg	328	em	aciem	e	e	e	e	e	e	e	es	es	es	es
acies:Dat.Pl	5	f	Dat.Pl	328	ēbus	aciēbus	ebos	es	es	es	es	es	es	es	es	es	es
aditus:Nom.Sg	4	m	Nom.Sg	107	us	aditus	os	os	os	o	o	o	o	o	o	o	o
aditus:Abl.Pl	4	m	Abl.Pl	107	ibus	aditibus	ebos	s	s	s	s	s	es	es	es	es	es
aditus:Dat.Sg	4	m	Dat.Sg	107	uī	adituī	oi	os	us	s							
aditus:Acc.Pl	4	m	Acc.Pl	107	ūs	aditūs	us	us	us	s	s	s	es	es	es	es	es
aditus:Gen.Sg	4	m	Gen.Sg	107	ūs	aditūs	us	us	us	us							
aditus:Gen.Pl	4	m	Gen.Pl	107	uum	adituum	u	s	es	es	es	es	es	es	es	es	es
aditus:Abl.Sg	4	m	Abl.Sg	107	ū	aditū	u	o	o	o	o	o	o	o	o	o	o
aditus:Nom.Pl	4	m	Nom.Pl	107	ūs	aditūs	us	us	us	us	s	s			e	e	es
aditus:Acc.Sg	4	m	Acc.Sg	107	um	aditum	o	o	o	o	o	o	o	o	o	o	o
aditus:Dat.Pl	4	m	Dat.Pl	107	ibus	aditibus	ebos	s	es	es	es	es	es	es	es	es	es
adulter:Nom.Sg	2	mh	Nom.Sg	55		adulter		os	o	o	o	o	o	o	o	o	o
adulter:Abl.Pl	2	mh	Abl.Pl	55	īs	adulterīs	is	is	is	es	es	es	es	es	es	es	es
adulter:Dat.Sg	2	mh	Dat.Sg	55	ō	adulterō	o	o	e	e	e	e	e				
adulter:Acc.Pl	2	mh	Acc.Pl	55	ōs	adulterōs	os	s	s	s	es	es	es	es	es	es	es
adulter:Gen.Sg	2	mh	Gen.Sg	55	ī	adulterī	i	i	s								
adulter:Gen.Pl	2	mh	Gen.Pl	55	ōrum	adulterōrum	oro	es	es	es	es	es	es	es	es	es	es
adulter:Abl.Sg	2	mh	Abl.Sg	55	ō	adulterō	o	o	o	o	o	o	o	o	o	o	o
adulter:Nom.Pl	2	mh	Nom.Pl	55	ī	adulterī	i	s	s	s	s	s		s		e	es
adulter:Acc.Sg	2	mh	Acc.Sg	55	um	adulterum	o	o	o	o	o	o	o	o	o	o	o
adulter:Dat.Pl	2	mh	Dat.Pl	55	īs	adulterīs	is	es	es	es	es	es	es	es	es	es	es
adventus:Nom.Sg	4	m	Nom.Sg	112	us	adventus	os	os	o	o	o	o	o	o	o	o	o
adventus:Abl.Pl	4	m	Abl.Pl	112	ibus	adventibus	ebos	s	s	s	s	s	es	es	es	es	es
adventus:Dat.Sg	4	m	Dat.Sg	112	uī	adventuī	oi	os	us	s							
adventus:Acc.Pl	4	m	Acc.Pl	112	ūs	adventūs	us	us	us	s	s	s	es	es	es	es	es
adventus:Gen.Sg	4	m	Gen.Sg	112	ūs	adventūs	us	us	us	us							
adventus:Gen.Pl	4	m	Gen.Pl	112	uum	adventuum	u	s	es	es	es	es	es	es	es	es	es
adventus:Abl.Sg	4	m	Abl.Sg	112	ū	adventū	u	o	o	o	o	o	o	o	o	o	o
