Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	ēs	aciēs	ei	ei	e	e	e	e	e	e	e	e	e
acies:Abl.Pl	5	f	Abl.Pl	328	ēbus	aciēbus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Dat.Sg	5	f	Dat.Sg	328	ēī	aciēī	ei	e	e	e	e	e	e	e	e	e	e
acies:Acc.Pl	5	f	Acc.Pl	328	ēs	aciēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Gen.Sg	5	f	Gen.Sg	328	ēī	aciēī	ei	ei	e	e	e	e	e	e	e	e	e
acies:Gen.Pl	5	f	Gen.Pl	328	ērum	aciērum	ero	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Abl.Sg	5	f	Abl.Sg	328	ē	aciē	e	ei	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	328	ēs	aciēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Acc.Sg	5	f	Acc.Sg	328	em	aciem	e	e	e	e	e	e	e	e	e	e	e
acies:Dat.Pl	5	f	Dat.Pl	328	ēbus	aciēbus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aditus:Nom.Sg	4	m	Nom.Sg	107	us	aditus	oi	oi	oi	oi	oi	oi	oi	oi	oi	o	o
aditus:Abl.Pl	4	m	Abl.Pl	107	ibus	aditibus	eboi	i	oi	oi	oi	i	ei	ei	ei	ei	ei
aditus:Dat.Sg	4	m	Dat.Sg	107	uī	adituī	oi	i	oi	ei	ei	ei	ei	ei	ei	ei	ei
aditus:Acc.Pl	4	m	Acc.Pl	107	ūs	aditūs	ui	oi	oi	oi	oi	i	ei	ei	ei	ei	ei
aditus:Gen.Sg	4	m	Gen.Sg	107	ūs	aditūs	ui	ui	oi	ei	ei	ei	ei	ei	ei	ei	ei
aditus:Gen.Pl	4	m	Gen.Pl	107	uum	adituum	u	oi	i	ei	ei	ei	ei	ei	ei	ei	ei
aditus:Abl.Sg	4	m	Abl.Sg	107	ū	aditū	u	o	oi	oi	oi	oi	oi	oi	oi	o	o
aditus:Nom.Pl	4	m	Nom.Pl	107	ūs	aditūs	ui	oi	oi	oi	oi	i	ei	ei	ei	ei	ei
