Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	ēs	aciēs	ei	ei	e	e							e
acies:Abl.Pl	5	f	Abl.Pl	328	ēbus	aciēbus	eui	eu	e	e	e	e	e	e	e	e	e
acies:Dat.Sg	5	f	Dat.Sg	328	ēī	aciēī	ei	e	e	ea	ea	e	ea	ea	e	e	e
acies:Acc.Pl	5	f	Acc.Pl	328	ēs	aciēs	ei	ei	ei	ei	e	e	e	e	e	e	e
acies:Gen.Sg	5	f	Gen.Sg	328	ēī	aciēī	ei	e	e	e	e	e	e	e	e	e	e
acies:Gen.Pl	5	f	Gen.Pl	328	ērum	aciērum	eru	eu	eiu	ei	ei	ei	e	e	e	e	e
acies:Abl.Sg	5	f	Abl.Sg	328	ē	aciē	ea	ea	ea	ea	ea	ea	ea	ea	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	328	ēs	aciēs	ei	ei	ei	ei	ei	ei	e	e	e	e	e
acies:Acc.Sg	5	f	Acc.Sg	328	em	aciem	ea	ea	ea	ea	ea	ea	ea	ea	e	ea	e
acies:Dat.Pl	5	f	Dat.Pl	328	ēbus	aciēbus	eui	eiu	ei	ei	ei	ei	e	e	e	e	e
aditus:Nom.Sg	4	m	Nom.Sg	107	us	aditus	ui	ui	u	u	u	u	u	u	u	u	u
aditus:Abl.Pl	4	m	Abl.Pl	107	ibus	aditibus	eui	iu	i								
aditus:Dat.Sg	4	m	Dat.Sg	107	uī	adituī	ui	u	u	u	u	u	u	u	u	u	u
aditus:Acc.Pl	4	m	Acc.Pl	107	ūs	aditūs	ui	ui	ui								
aditus:Gen.Sg	4	m	Gen.Sg	107	ūs	aditūs	ui	ui	u	u	u	u	u	u	u	u	u
aditus:Gen.Pl	4	m	Gen.Pl	107	uum	adituum	u	īu	ei								
aditus:Abl.Sg	4	m	Abl.Sg	107	ū	aditū	u	u	u	u	u	u	u	u	u	u	u
aditus:Nom.Pl	4	m	Nom.Pl	107	ūs	aditūs	ui	i	i						u	u	u
aditus:Acc.Sg	4	m	Acc.Sg	107	um	aditum	u	u	u	u	u	u	u	u	u	u	u
aditus:Dat.Pl	4	m	Dat.Pl	107	ibus	aditibus	eui	i	i								
adulter:Nom.Sg	2	mh	Nom.Sg	55		adulter		u	u	u	u	u	u	u	u	u	u
adulter:Abl.Pl	2	mh	Abl.Pl	55	īs	adulterīs	ī	iu									
adulter:Dat.Sg	2	mh	Dat.Sg	55	ō	adulterō	u				u	u	u	u	u	u	u
adulter:Acc.Pl	2	mh	Acc.Pl	55	ōs	adulterōs	ui	i	i								
adulter:Gen.Sg	2	mh	Gen.Sg	55	ī	adulterī	i				u	u	u	u	u	u	u
adulter:Gen.Pl	2	mh	Gen.Pl	55	ōrum	adulterōrum	oru	iu	e	ei							
adulter:Abl.Sg	2	mh	Abl.Sg	55	ō	adulterō	u	u	u	u	u	u	u	u	u	u	u
adulter:Nom.Pl	2	mh	Nom.Pl	55	ī	adulterī	i	i	i								
adulter:Acc.Sg	2	mh	Acc.Sg	55	um	adulterum	u	u	u	u	u	u	u	u	u	u	u
adulter:Dat.Pl	2	mh	Dat.Pl	55	īs	adulterīs	ī	eiu	ei	ei		e			e	e	e
adventus:Nom.Sg	4	m	Nom.Sg	112	us	adventus	ui	ui	u	u	u	u	u	u	u	u	u
adventus:Abl.Pl	4	m	Abl.Pl	112	ibus	adventibus	eui	i	i								
adventus:Dat.Sg	4	m	Dat.Sg	112	uī	adventuī	ui	u	u	u	u	u	u	u	u	u	u
adventus:Acc.Pl	4	m	Acc.Pl	112	ūs	adventūs	ui	i	ui								
adventus:Gen.Sg	4	m	Gen.Sg	112	ūs	adventūs	ui	ui	u	u	u	u	u	u	u	u	u
adventus:Gen.Pl	4	m	Gen.Pl	112	uum	adventuum	u	īu	i								
adventus:Abl.Sg	4	m	Abl.Sg	112	ū	adventū	u	u	u	u	u	u	u	u	u	u	u
adventus:Nom.Pl	4	m	Nom.Pl	112	ūs	adventūs	ui	i	i						u	u	u
adventus:Acc.Sg	4	m	Acc.Sg	112	um	adventum	u	u	u	u	u	u	u	u	u	u	u
adventus:Dat.Pl	4	m	Dat.Pl	112	ibus	adventibus	eui	i	i								
aedes:Nom.Sg	3	f	Nom.Sg	68	ēs	aedēs	ei						e				
aedes:Abl.Pl	3	f	Abl.Pl	68	ibus	aedibus	eui	e	e	e	e	e	e	e	e	e	e
aedes:Dat.Sg	3	f	Dat.Sg	68	ī	aedī	i	e	e	ea	ea	ea	ea	ea	ea	ea	ea
aedes:Acc.Pl	3	f	Acc.Pl	68	ēs	aedēs	ei	ei	ei	e	e	e	e	e	e	e	e
aedes:Gen.Sg	3	f	Gen.Sg	68	is	aedis	ei	e	e	e	e	e	e	e	e	e	e
aedes:Gen.Pl	3	f	Gen.Pl	68	ium	aedium	eu	eiu	ei	ei	ei	ei	e	e	e	e	e
aedes:Abl.Sg	3	f	Abl.Sg	68	e	aede	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aedes:Nom.Pl	3	f	Nom.Pl	68	ēs	aedēs	ei	i	ei	e	e	e	e	e	e	e	e
aedes:Acc.Sg	3	f	Acc.Sg	68	em	aedem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aedes:Dat.Pl	3	f	Dat.Pl	68	ibus	aedibus	eui	ei	ei	ei	ei	ei	e	e	e	e	e
aer:Nom.Sg	3	m	Nom.Sg	78		āēr											
aer:Abl.Pl	3	m	Abl.Pl	78	ibus	āeribus	eui	eu	e	e	e	e	e	e	e	e	e
aer:Dat.Sg	3	m	Dat.Sg	78	ī	āerī	i	e	e	ea	ea	ea	ea	ea	ea	ea	ea
aer:Acc.Pl	3	m	Acc.Pl	78	ēs	āerēs	ei	ei	ei	e	e	e	e	e	e	e	e
aer:Gen.Sg	3	m	Gen.Sg	78	is	āeris	ei	e	e	e		e	e				
aer:Gen.Pl	3	m	Gen.Pl	78	um	āerum	u	eu	ei	ei	ei	ei	e	e	e	e	e
aer:Abl.Sg	3	m	Abl.Sg	78	e	āere	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aer:Nom.Pl	3	m	Nom.Pl	78	ēs	āerēs	ei	i	ei	e		e	e	e	e	e	e
aer:Acc.Sg	3	m	Acc.Sg	78	a	āera	a	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aer:Dat.Pl	3	m	Dat.Pl	78	ibus	āeribus	eui	eiu	ei	ei	ei	ei	e	e	e	e	e
aes:Nom.Sg	3	n	Nom.Sg	141		aes											
aes:Abl.Pl	3	n	Abl.Pl	141	ibus	aeribus	eui	e					e	e	e	e	e
