Word	Declension	Gender	TotFreq	Declined	0	1
acies:Nom.Sg	5	f	328	aciēs	akiees	akiee
acies:Abl.Pl	5	f	328	aciēbus	akieebus	kiee
acies:Dat.Sg	5	f	328	aciēī	akieeii	kiee
acies:Acc.Pl	5	f	328	aciēs	akiees	akiee
acies:Gen.Sg	5	f	328	aciēī	akieeii	kiee
acies:Gen.Pl	5	f	328	aciērum	akieerum	kiee
acies:Abl.Sg	5	f	328	aciē	akiee	kiee
acies:Nom.Pl	5	f	328	aciēs	akiees	akiees
acies:Acc.Sg	5	f	328	aciem	akiem	akiee
acies:Dat.Pl	5	f	328	aciēbus	akieebus	kiee
cena:Nom.Sg	1	f	65	cēna	keena	kenee
cena:Abl.Pl	1	f	65	cēnīs	keeniis	kenee
cena:Dat.Sg	1	f	65	cēnae	keenae	kenee
cena:Acc.Pl	1	f	65	cēnās	keenaas	kenee
cena:Gen.Sg	1	f	65	cēnae	keenae	kenee
cena:Gen.Pl	1	f	65	cēnārum	keenaarum	keee
cena:Abl.Sg	1	f	65	cēnā	keenaa	kenee
cena:Nom.Pl	1	f	65	cēnae	keenae	kenee
cena:Acc.Sg	1	f	65	cēnam	keenam	kenee
cena:Dat.Pl	1	f	65	cēnīs	keeniis	keee
nix:Nom.Sg	3	f	83	nix	niks	nie
nix:Abl.Pl	3	f	83	nivibus	niwibus	niee
nix:Dat.Sg	3	f	83	nivī	niwii	ie
nix:Acc.Pl	3	f	83	nivēs	niwees	iee
nix:Gen.Sg	3	f	83	nivis	niwis	nie
nix:Gen.Pl	3	f	83	nivium	niwium	iee
nix:Abl.Sg	3	f	83	nive	niwe	nie
nix:Nom.Pl	3	f	83	nivēs	niwees	niee
nix:Acc.Sg	3	f	83	nivem	niwem	ie
nix:Dat.Pl	3	f	83	nivibus	niwibus	iee
somnus:Nom.Sg	2	m	200	somnus	somnus	somnu
somnus:Abl.Pl	2	m	200	somnīs	somniis	senee
somnus:Dat.Sg	2	m	200	somnō	somnoo	sene
somnus:Acc.Pl	2	m	200	somnōs	somnoos	senee
somnus:Gen.Sg	2	m	200	somnī	somnii	sene
somnus:Gen.Pl	2	m	200	somnōrum	somnoorum	senee
somnus:Abl.Sg	2	m	200	somnō	somnoo	semnee
somnus:Nom.Pl	2	m	200	somnī	somnii	semnee
somnus:Acc.Sg	2	m	200	somnum	somnum	somne
somnus:Dat.Pl	2	m	200	somnīs	somniis	senee
