Declined Noun	0	1
akiees	akiee	akiee
akieebus	akiee	kiee
akieeii	akiee	kiee
akiees	akiee	kiee
akieeii	akiee	akiee
akieerum	akiee	kiee
akiee	akiee	akiee
akiees	akiee	akiee
akiem	akie	akiee
akieebus	akiee	kiee
keena	kene	keee
keeniis	keee	keee
keenae	keee	keee
keenaas	keee	keee
keenae	keee	keee
keenaarum	keee	keee
keenaa	kenea	keee
keenae	keee	keee
keenam	kene	keee
keeniis	kiee	keee
niks	niwe	iee
niwibus	niee	kiee
niwii	nie	keee
niwees	nie	keee
niwis	nie	kiee
niwium	niee	kiee
niwe	nie	kiee
niwees	nie	kiee
niwem	nie	kiee
niwibus	niee	keee
somnus	somne	teee
somniis	tenee	keee
somnoo	teni	teee
somnoos	tene	keee
somnii	teni	teee
somnoorum	teee	keee
somnoo	tone	keee
somnii	tene	teee
somnum	toni	teee
somniis	tiee	keee
