Latin	English	Declension	Gender	Total	Prose	Poetry
res	thing, matter, issue	5	f	2735	2519	216
animus	mind, soul, courage, will	2	m	2407	2025	382
rex	king	3	mh	1544	1281	263
locus	place, spot	2	m	1516	1259	257
deus	god	2	mh	1507	905	602
dies	day	5	m	1458	1086	372
manus	hand	4	f	1369	781	588
homo	human	3	mh	1273	1151	122
hostis	enemy, stranger	3	mh, fh	1230	1122	108
vita	life	1	f	1174	979	195
corpus	body	3	n	1174	907	267
bellum	war	2	n	1167	962	205
urbs	city	3	f	1116	841	275
tempus	time	3	n	1113	907	206
virtus	manliness, courage, virtue, character	3	f	1057	956	101
pater	father	3	mh	1053	668	385
vir	man	2	mh	1030	737	293
domus	house, home	4	f	946	533	413
vis	force, power	3	f	929	769	160
mors	death	3	f	921	675	246
bonum	good	2	n	919	873	46
malum	evil	2	n	908	635	273
terra	earth	1	f	905	435	470
fortuna	fortune, luck, destiny	1	f	886	784	102
arma	defensive arms, war, soldiers, defense, tools	2	n	864	596	268
miles	soldier	3	m	842	781	61
populus	the people	2	m	822	639	183
natura	nature	1	f	769	711	58
nomen	name	3	n	756	572	184
mare	sea	3	n	660	399	261
concilium	plan, council, judgment, advice	2	n	657	608	49
imperium	empire, state, realm, right, power	2	n	652	559	93
annus	year	2	m	650	485	165
castra	camp, military service	2	n	635	586	49
mos	custom, usage, rule	3	m	635	502	133
modus	measure, manner	2	m	634	523	111
nox	night	3	f	622	316	306
genus	birth, origin, kind, type	3	n	613	430	183
caput	head	3	n	607	307	300
regnum	royal power, kingdom, royalty	2	n	607	298	309
ratio	reason, explanation, calculation	3	f	594	563	31
ira	anger	1	f	585	434	151
fides	faith	5	f	581	423	158
gens	tribe, people, family	3	f	577	429	148
vox	voice	3	f	568	358	210
caelum	sky	2	n	565	202	363
amicus	friend	2	m	564	470	94
amica	friend	1	f	564	470	94
periculum	trial, risk, ruin	2	n	559	517	42
spes	hope	5	f	557	475	82
verbum	word	2	n	549	378	171
metus	fear, dread	4	m	548	430	118
mater	mother	3	fh	544	220	324
dolor	pain	3	m	540	371	169
amor	love	3	m	539	158	381
mens	mind	3	f	538	324	214
iter	route, journey	3	n	532	433	99
scelus	crime, criminal, villain	3	n	531	281	250
finis	end, limit, border	3	m	529	436	93
eques	horseman, rider, knight	3	mh	526	500	26
princeps	leader, head, chief	3	mh	516	503	13
ignis	fire	3	m	505	233	272
oculus	eye	2	m	496	327	169
cura	care, concern	1	f	492	287	205
consul	consul	3	mh	480	452	28
dux	leader, commander	3	mh	480	362	118
os	mouth	3	n	478	172	306
labor	work, labour	3	m	475	281	194
lex	law	3	f	472	380	92
copia	supply, abundance	1	f	469	444	25
pes	foot	3	m	447	233	214
filius	son	2	m	446	415	31
ars	art, skill, craft	3	f	446	332	114
signum	mark, sign, emblem	2	n	441	328	113
via	road, street, way	1	f	439	216	223
parens	parent, founder	3	mh	439	207	232
vitium	crime, vice	2	n	438	391	47
honor	honor	3	m	429	342	87
poena	penalty, punishment	1	f	428	260	168
frater	brother	3	mh	426	258	168
iniuria	injury, insult, injustice	1	f	425	410	15
fama	fame	1	f	425	320	105
fatum	destiny, fate	2	n	424	117	307
gratia	grace, thanks	1	f	418	399	19
aetas	age	3	f	418	343	75
voluptas	pleasure	3	f	415	394	21
